x,防具-皮甲腰带-浴血奋战腰带,防具-皮甲腰带-死亡阴影腰带,防具-皮甲腰带-黑暗幽灵皮腰带,防具-皮甲腰带-鲜红血纹皮甲腰带,防具-皮甲腰带-佧修派的隐遁者,防具-皮甲腰带-圣物:荣耀的地狱公爵的狼皮腰带,防具-皮甲腰带-卡勒特的战魂腰带,防具-板甲鞋-无言之罪恶,防具-板甲鞋-黑暗幽灵矽钢长靴,防具-板甲鞋-鲜红血纹板甲战靴,防具-板甲鞋-圣物:荣耀的地狱公爵的铂金战靴,防具-板甲鞋-牛头械王的超能战靴,防具-板甲鞋-浊影之息 - 狂疾之靴,防具-板甲鞋-兰帕德钛金战靴,防具-板甲鞋-九域玄天战靴,防具-轻甲腰带-风起云涌腰带,防具-轻甲腰带-炙炎 : 山竹,防具-轻甲腰带-守护战士之苦难,防具-轻甲腰带-黑暗幽灵紫杉腰带,防具-轻甲腰带-鲜红血纹轻甲腰带,防具-轻甲腰带-警卫队长的死亡腰带,防具-轻甲腰带-极拳腰带,防具-轻甲腰带-圣物:荣耀的地狱公爵的陶瓷腰带,防具-轻甲腰带-雷电耀世腰带,防具-重甲头肩-千链锁灵肩甲,防具-重甲头肩-魔龙之心,防具-重甲头肩-贝利亚尔 : 毁灭之种,防具-重甲头肩-黑暗幽灵断刃肩甲,防具-重甲头肩-鲜红血纹重甲护肩,防具-重甲头肩-圣物:荣耀的地狱公爵的链金护肩,防具-重甲头肩-卡勒特的破阵肩甲,防具-重甲头肩-异世魂铃肩甲,防具-重甲鞋-千链锁灵战靴,防具-重甲鞋-自然之核,防具-重甲鞋-巴尔 : 堕落之魂,防具-重甲鞋-崩溃世界的忧伤,防具-重甲鞋-鲜红血纹重甲战靴,防具-重甲鞋-防御风暴短靴,防具-重甲鞋-凯恩的猛袭长靴,防具-重甲鞋-圣物:荣耀的地狱公爵的链金战靴,防具-重甲鞋-机械战靴,防具-布甲下装-魅惑律动伦巴,防具-布甲下装-大祭司的星祈长裙,防具-布甲下装-驱散黑暗短裤,防具-皮甲鞋-赤地千里战靴,防具-皮甲鞋-死亡阴影长靴,防具-皮甲鞋-次元漫步者长靴,防具-皮甲鞋-黑暗幽灵兽皮长靴,防具-皮甲鞋-鲜红血纹皮甲战靴,防具-皮甲鞋-使徒行者短靴,防具-皮甲鞋-卡勒特的神射手军靴,防具-皮甲鞋-卡勒特的军权战靴,防具-皮甲鞋-圣物:荣耀的地狱公爵的狼皮战靴,防具-板甲头肩-命运的抉择,防具-板甲头肩-奔流不息之伽蓝,防具-板甲头肩-猛烈燃烧之炎,防具-板甲头肩-矛盾的抉择,防具-板甲头肩-黑暗幽灵矽钢肩甲,防具-板甲头肩-鲜红血纹板甲护肩,防具-板甲头肩-圣物:荣耀的地狱公爵的铂金肩甲,防具-板甲头肩-突击队长的机械护肩,防具-板甲头肩-落日熔金肩甲,防具-板甲头肩-巨龙全金属肩甲,防具-重甲腰带-千链锁灵腰带,防具-重甲腰带-碎钢之牙,防具-重甲腰带-亚巴顿 : 绝望地狱,防具-重甲腰带-无我之轮回,防具-重甲腰带-黑暗幽灵断刃腰带,防具-重甲腰带-鲜红血纹重甲腰带,防具-重甲腰带-熔岩虫的异形腰带,防具-重甲腰带-火山岩腰带,防具-重甲腰带-圣物:荣耀的地狱公爵的链金腰带,防具-皮甲上衣-冲锋陷阵胸甲,防具-皮甲上衣-首席执行官裁决夹克,防具-皮甲上衣-死亡阴影夹克,防具-板甲下装-交织烈日之风,防具-板甲下装-守护的抉择,防具-板甲下装-奔流不息之银河,防具-板甲下装-蚕食新绿之息,防具-板甲下装-黑暗幽灵矽钢胫甲,防具-板甲下装-鲜红血纹板甲护腿,防具-板甲下装-超合金铁腕护腿,防具-板甲下装-煞血天劫腿甲,防具-板甲下装-临界玄铁腿甲,防具-板甲下装-圣物:荣耀的地狱公爵的铂金护腿,防具-布甲下装-黑暗幽灵蚕丝护腿,防具-布甲下装-鲜红血纹布甲护腿,防具-布甲下装-怒火攻心护腿,防具-布甲下装-圣物:荣耀的地狱公爵的丝绸长裤,防具-布甲下装-热血枪魂长裤,防具-布甲下装-恶童的南瓜裤,防具-布甲下装-黑雾悬影长裤,防具-板甲腰带-宁静苍翠之水,防具-板甲腰带-正义的抉择,防具-板甲腰带-奔流不息之狂风,防具-板甲腰带-黑暗幽灵矽钢腰带,防具-板甲腰带-鲜红血纹板甲腰带,防具-板甲腰带-库尔图洛的合金腰带,防具-轻甲下装-雷霆万钧护腿,防具-轻甲下装-炙炎 : 荔枝,防具-轻甲下装-灵魂的呐喊,防具-轻甲下装-无形之气韵,防具-轻甲下装-黑暗幽灵紫杉护腿,防具-轻甲下装-光剑洛克的绑腿,防具-轻甲下装-牛头统帅的兽王骨甲,防具-轻甲下装-圣物:荣耀的地狱公爵的陶瓷护腿,防具-轻甲下装-亚辛的月光甲板,防具-皮甲上衣-引路者的黄昏披风,防具-皮甲上衣-无念之仪服,防具-皮甲上衣-黑暗幽灵兽皮胸甲,防具-皮甲上衣-鲜红血纹皮甲胸铠,防具-皮甲上衣-白月沉息长袍,防具-皮甲上衣-贝拉的巡查队制服,防具-皮甲上衣-圣物:荣耀的地狱公爵的狼皮胸甲,防具-皮甲上衣-梦幻列车长的斗篷,防具-板甲腰带-圣物:荣耀的地狱公爵的铂金腰带,防具-板甲腰带-九域玄天腰带,防具-重甲下装-千链锁灵护腿,防具-重甲下装-邪恶之角,防具-重甲下装-亚蒙 : 谎言之力,防具-重甲下装-疯狂之如影随形,防具-重甲下装-黑暗幽灵断刃护腿,防具-重甲下装-鲜红血纹重甲护腿,防具-重甲下装-巨龙金鳞护腿,防具-重甲下装-超级赛亚人变身铠甲,防具-重甲下装-圣物:荣耀的地狱公爵的链金护腿,防具-布甲鞋-激烈欢动踢踏,防具-布甲鞋-大祭司的星祈凉鞋,防具-布甲鞋-堕入地狱之脚,防具-布甲鞋-黑暗幽灵蚕丝长靴,防具-布甲鞋-鲜红血纹布甲战靴,防具-布甲鞋-盟约长靴,防具-布甲鞋-圣物:荣耀的地狱公爵的丝绸战靴,防具-布甲鞋-八足神骏,防具-重甲下装-突击队长的机械腿甲,防具-重甲下装-巨斧克洛的钛银腿甲,防具-重甲上衣-千链锁灵战甲,防具-重甲上衣-妖精之姿,防具-重甲上衣-撒旦 : 沸腾之怒,防具-重甲上衣-泣血之恨,防具-重甲上衣-黑暗幽灵断刃胸甲,防具-重甲上衣-鲜红血纹重甲胸铠,防具-重甲上衣-突击队长的机械护甲,防具-重甲上衣-巨斧克洛的钛银胸甲,防具-重甲上衣-稳如磐石之甲,防具-重甲上衣-圣物:荣耀的地狱公爵的链金胸甲,防具-重甲上衣-血红胸甲,防具-皮甲下装-破釜沉舟护腿,防具-皮甲下装-首席执行官裁决短裤,防具-皮甲下装-死亡阴影短裤,防具-皮甲下装-时空漩涡护腿,防具-皮甲下装-黑暗幽灵兽皮护腿,防具-皮甲下装-鲜红血纹皮甲护腿,防具-皮甲下装-哈布的熔岩长裤,防具-重甲上衣-牛头械王的能量战甲,防具-皮甲下装-圣物:荣耀的地狱公爵的狼皮护腿,防具-皮甲下装-巨型蝙蝠的厄运长裤,防具-皮甲下装-白月沉息护腿,防具-皮甲下装-山崩地怒腿甲,防具-轻甲鞋-遮天蔽日长靴,防具-轻甲鞋-炙炎 : 木瓜,防具-轻甲鞋-寂静寒夜之忍耐,防具-轻甲鞋-悲喜交加,防具-轻甲鞋-鲜红血纹轻甲战靴,防具-轻甲鞋-阿努比斯陶瓷长靴,防具-轻甲鞋-墨影朱莲战靴,防具-轻甲鞋-戮蛊的绝地战靴,防具-布甲头肩-性感洒脱探戈,防具-布甲头肩-大祭司的星祈披肩,防具-布甲头肩-黑暗幽灵蚕丝护肩,防具-布甲头肩-鲜红血纹布甲护肩,防具-布甲头肩-幽灵诡影护肩,防具-布甲头肩-紫花流明护肩,防具-布甲头肩-浴血兵锋护肩,防具-布甲头肩-圣物:荣耀的地狱公爵的丝绸肩甲,防具-布甲腰带-热情舞动桑巴,防具-布甲腰带-大祭司的星祈腰带,防具-布甲腰带-黑暗幽灵蚕丝腰带,防具-布甲腰带-鲜红血纹布甲腰带,防具-布甲腰带-圣物:荣耀的地狱公爵的丝绸腰带,防具-布甲腰带-牛头械王的超能腰甲,防具-布甲腰带-晦暗的忧伤腰带,防具-布甲腰带-命运女神的腰带,防具-布甲上衣-优雅旋律华尔兹,防具-布甲上衣-大祭司的星祈礼袍,防具-布甲上衣-堕落深渊黑魔法衬衫,防具-布甲上衣-黑暗幽灵蚕丝胸甲,防具-布甲上衣-伊甸之森上衣,防具-布甲上衣-哥特萝莉长裙,防具-布甲上衣-圣物:荣耀的地狱公爵的丝绸战袍,防具-布甲上衣-首领萨斯的阴影长袍,防具-板甲上衣-宽恕坚韧之地,防具-板甲上衣-人性的抉择,防具-板甲上衣-奔流不息之岁月,防具-板甲上衣-鲜红血纹板甲胸铠,防具-板甲上衣-黑暗幽灵矽钢铠甲,防具-板甲上衣-警卫队长的战斗胸甲,防具-板甲上衣-圣物:荣耀的地狱公爵的铂金胸甲,防具-板甲上衣-临界玄铁上衣,防具-轻甲上衣-气吞山河战甲,防具-轻甲上衣-炙炎 : 火龙果,防具-轻甲上衣-燃烧烈焰之勇气,防具-轻甲上衣-地狱边缘,防具-轻甲上衣-黑暗幽灵紫杉胸甲,防具-轻甲上衣-鲜红血纹轻甲胸铠,防具-轻甲上衣-噬魂碎灵胸甲,防具-轻甲上衣-死神血影,防具-轻甲上衣-圣物:荣耀的地狱公爵的陶瓷胸甲,防具-轻甲头肩-排山倒海护肩,防具-轻甲头肩-炙炎 : 榴莲,防具-轻甲头肩-艰难求生之斗志,防具-轻甲头肩-完美掌控,防具-轻甲头肩-黑暗幽灵紫杉护肩,防具-轻甲头肩-鲜红血纹轻甲护肩,防具-轻甲头肩-圣物:荣耀的地狱公爵的陶瓷护肩,防具-轻甲头肩-墨影朱莲护肩,防具-轻甲头肩-黑色噩梦肩甲,防具-皮甲头肩-枪林弹雨护肩,防具-皮甲头肩-首席执行官裁决肩甲,防具-皮甲头肩-死亡阴影护肩,防具-皮甲头肩-黑暗幽灵兽皮护肩,防具-皮甲头肩-鲜红血纹皮甲护肩,防具-皮甲头肩-刺金肩甲,防具-皮甲头肩-黑色透视护肩,防具-皮甲头肩-圣物:荣耀的地狱公爵的狼皮护肩,防具-皮甲腰带-首席执行官裁决腰带,防具-皮甲腰带-魔眼之异能腰带,防具-重甲头肩-魔力增幅装置,防具-重甲鞋-黑暗幽灵断刃长靴,防具-皮甲鞋-首席执行官裁决长靴,防具-皮甲鞋-超强化鞋子,防具-重甲腰带-突击队长的机械护腰,防具-轻甲下装-肆虐狂风之意志,防具-轻甲下装-鲜红血纹轻甲护腿,防具-皮甲上衣-米斯特尔的杰作,防具-布甲鞋-暴戾搜捕团的教义之靴,防具-轻甲鞋-黑暗幽灵紫杉长靴,防具-轻甲鞋-圣物:荣耀的地狱公爵的陶瓷战靴,防具-布甲头肩-无欲之花,防具-布甲上衣-鲜红血纹布甲上装,防具-板甲上衣-奔流不息之山川,防具-板甲上衣-机械之心战甲,防具-轻甲上衣-光剑洛克的胸甲,防具-轻甲头肩-幽冥列车长的亡灵护肩,防具-布甲下装-魔法师[???]的护腿,防具-布甲鞋-魔法师[???]的长靴,防具-布甲头肩-魔法师[???]的披风,防具-布甲腰带-魔法师[???]的腰带,防具-布甲上衣-魔法师[???]的长袍,防具-布甲上衣-轮回·黑暗幽灵蚕丝胸甲,防具-板甲上衣-轮回·黑暗幽灵矽钢铠甲,防具-轻甲上衣-轮回·鲜红血纹轻甲胸铠
17.06.13,,,,,10486492.0,,2216468.0,,,,,2063724.0,2322042.0,9093335.0,2246705.0,,,,,,4127172.0,1786500.0,,8744816.0,,,,,,,2107669.0,1808217.0,,,,,,1783502.0,2349731.0,,13378461.0,,,,,,,,,1814894.0,2453402.0,2402660.0,,,,,,,,,2550403.0,1808364.0,21817913.0,,,,,,,1805920.0,9132914.0,,,,,,,,,,,10204139.0,2093155.0,1797924.0,,,,2128117.0,,2283401.0,10160608.0,1859430.0,,,,,,29702477.0,,,,,,1815957.0,2420416.0,,31648378.0,,,,,1879719.0,2025908.0,,2270299.0,,1802199.0,,,,,,,8836002.0,3937420.0,,,,,,,18626641.0,,2058558.0,41789848.0,1829774.0,,,,,,,8626901.0,1824721.0,3170595.0,,14705674.0,,,,,,,13518842.0,4829182.0,,4213461.0,3114582.0,2259991.0,,,,,,9113602.0,1819374.0,2035964.0,,,,,2516931.0,9796702.0,1883243.0,,,,,,,2241146.0,9401581.0,1835003.0,,,,,1965651.0,9249949.0,,2387464.0,,,,,,2522717.0,,1807950.0,,,,,,,2832210.0,8837330.0,,,,,,,,,1834001.0,9507686.0,,,,,,1855223.0,,,,1807473.0,39293529.0,,,8730129.0,3286733.0,,,17370936.0,2441133.0,,,,,,9310014.0,1836368.0,5573391.0,,,,,,,,
17.06.14,,,,,10281545.0,,2148934.0,,,,,2182180.0,2333668.0,9269314.0,2265107.0,,,,,,4082208.0,1819705.0,,9051733.0,,,,,,,2189639.0,1825400.0,,,,,,1820095.0,2428771.0,,12869071.0,,,,,,,,,1844904.0,2341201.0,2356167.0,,,,,,,,,2566845.0,1834689.0,22457116.0,,,,,,,1840589.0,9182472.0,,,,,,,,,,,9947470.0,2134322.0,1815261.0,,,,2118470.0,,2323669.0,10165896.0,1884365.0,,,,,,28890751.0,,,,,,1843271.0,2432662.0,,31228724.0,,,,,1922324.0,2106190.0,,2224460.0,,1827881.0,,,,,,,9155999.0,3907960.0,,,,,,,18603976.0,,2082480.0,41747383.0,1855591.0,,,,,,,8673494.0,1853030.0,3191559.0,,14994582.0,,,,,,,13548283.0,4868625.0,,4460905.0,3195479.0,2359156.0,,,,,,8999355.0,1851391.0,2057572.0,,,,,2642678.0,10206281.0,1910289.0,,,,,,,2310996.0,9416601.0,1859072.0,,,,,2018362.0,9434240.0,,2548341.0,,,,,,2522693.0,,1843352.0,,,,,,,2805947.0,9212432.0,,,,,,,,,1873884.0,9554499.0,,,,,,1894010.0,,,,1840160.0,39329448.0,,,8841530.0,3296033.0,,,16618039.0,2398252.0,,,,,,9268978.0,1865240.0,5364539.0,,,,,,,,
17.06.15,,,,,10237786.0,,2269619.0,,,,,2218222.0,2433811.0,9409878.0,2273499.0,,,,,,4079489.0,1825332.0,,8741127.0,,,,,,,2229427.0,1836115.0,,,,,,1845860.0,2404152.0,,12606857.0,,,,,,,,,1862236.0,2558768.0,2384407.0,,,,,,,,,2713208.0,1849833.0,22548892.0,,,,,,,1874658.0,9405416.0,,,,,,,,,,,10139711.0,2224809.0,1847820.0,,,,2299393.0,,2345612.0,10327346.0,1913061.0,,,,,,29260149.0,,,,,,1868671.0,2530704.0,,31127979.0,,,,,1968898.0,2175472.0,,2381069.0,,1859433.0,,,,,,,9039376.0,3684422.0,,,,,,,18737525.0,,2145992.0,42415964.0,1878274.0,,,,,,,8573296.0,1869542.0,3168466.0,,14624349.0,,,,,,,14609208.0,4856884.0,,4667908.0,3222711.0,2347353.0,,,,,,8961941.0,1862568.0,2086586.0,,,,,2943718.0,9650854.0,1939719.0,,,,,,,2335495.0,9617659.0,1886953.0,,,,,2031447.0,9573923.0,,2616004.0,,,,,,2668754.0,,1883595.0,,,,,,,2911458.0,8927096.0,,,,,,,,,1890700.0,9388777.0,,,,,,1927883.0,,,,1838744.0,37966031.0,,,9047552.0,3252180.0,,,17004222.0,2425181.0,,,,,,9273232.0,1888864.0,5258878.0,,,,,,,,
17.06.16,,,,,10262417.0,,2364728.0,,,,,2206187.0,2425082.0,8933322.0,2243540.0,,,,,,3996343.0,1827974.0,,8583945.0,,,,,,,2235098.0,1834957.0,,,,,,1834284.0,2559263.0,,12483257.0,,,,,,,,,1856938.0,2761068.0,2520689.0,,,,,,,,,2650309.0,1847078.0,22741971.0,,,,,,,1844122.0,8928996.0,,,,,,,,,,,10041716.0,2198968.0,1828838.0,,,,2384161.0,,2376308.0,10454446.0,1892080.0,,,,,,28923982.0,,,,,,1869374.0,2615585.0,,31134728.0,,,,,1941280.0,2170721.0,,2386539.0,,1864537.0,,,,,,,8591240.0,3693918.0,,,,,,,19126775.0,,2134192.0,43058512.0,1876854.0,,,,,,,8678040.0,1860515.0,3002008.0,,14234695.0,,,,,,,14126596.0,4849702.0,,4880819.0,3208640.0,2355748.0,,,,,,9088574.0,1847914.0,2159690.0,,,,,3244553.0,9623790.0,1921622.0,,,,,,,2364983.0,9664545.0,1871713.0,,,,,2015603.0,9481088.0,,2624080.0,,,,,,2553512.0,,1859691.0,,,,,,,2974627.0,9045104.0,,,,,,,,,1913367.0,9511279.0,,,,,,1901485.0,,,,1829372.0,38097727.0,,,9157395.0,3223573.0,,,17019849.0,2596969.0,,,,,,9269257.0,1874857.0,4981267.0,,,,,,,,
17.06.17,,,,,10179567.0,,2451615.0,,,,,2245579.0,2403019.0,8814424.0,2193334.0,,,,,,3871445.0,1809890.0,,8709334.0,,,,,,,2327312.0,1821403.0,,,,,,1821585.0,2495833.0,,12577563.0,,,,,,,,,1823253.0,3062165.0,2363197.0,,,,,,,,,2658602.0,1841665.0,22504686.0,,,,,,,1828341.0,9113211.0,,,,,,,,,,,9925883.0,2165818.0,1826209.0,,,,2249785.0,,2389524.0,10225840.0,1868148.0,,,,,,30978589.0,,,,,,1848442.0,2767811.0,,30267622.0,,,,,1912697.0,2185301.0,,2354869.0,,1827728.0,,,,,,,8852027.0,3574713.0,,,,,,,19328326.0,,2089299.0,42873094.0,1844111.0,,,,,,,8725908.0,1836158.0,2871732.0,,14128390.0,,,,,,,14620797.0,4823163.0,,4923763.0,3098341.0,2347778.0,,,,,,8999009.0,1826722.0,2163175.0,,,,,3356045.0,9448267.0,1880522.0,,,,,,,2327088.0,9634779.0,1838401.0,,,,,1971152.0,9364814.0,,2495410.0,,,,,,2564511.0,,1836750.0,,,,,,,2902333.0,9245426.0,,,,,,,,,1879549.0,9525857.0,,,,,,1863783.0,,,,1819979.0,38005380.0,,,9182396.0,3189021.0,,,16280604.0,2501072.0,,,,,,8811198.0,1859201.0,4936400.0,,,,,,,,
17.06.18,,,,,10283954.0,,2451020.0,,,,,2213539.0,2442058.0,9037278.0,2183520.0,,,,,,3794173.0,1805237.0,,8762563.0,,,,,,,2246241.0,1813014.0,,,,,,1796989.0,2445922.0,,12887650.0,,,,,,,,,1797951.0,3183905.0,2562146.0,,,,,,,,,2612669.0,1820660.0,22910414.0,,,,,,,1814970.0,9256152.0,,,,,,,,,,,10100888.0,2116702.0,1826528.0,,,,2191821.0,,2256816.0,10111976.0,1858540.0,,,,,,29103595.0,,,,,,1833207.0,2667211.0,,29451796.0,,,,,1893363.0,2153641.0,,2256464.0,,1816801.0,,,,,,,9170904.0,3264577.0,,,,,,,19313332.0,,2066857.0,42443274.0,1822899.0,,,,,,,8688551.0,1826643.0,2889910.0,,14183499.0,,,,,,,14125409.0,4586286.0,,4667369.0,3041115.0,2465332.0,,,,,,9064883.0,1817742.0,2138549.0,,,,,3317686.0,9720385.0,1862328.0,,,,,,,2268017.0,10025855.0,1826722.0,,,,,1954492.0,9415964.0,,2450459.0,,,,,,2540707.0,,1818585.0,,,,,,,2909645.0,9101668.0,,,,,,,,,1851258.0,9742483.0,,,,,,1854792.0,,,,1796241.0,38033253.0,,,9352992.0,3206751.0,,,16684931.0,2475689.0,,,,,,8894750.0,1843866.0,4897143.0,,,,,,,,
17.06.19,,,,,10333125.0,,2349153.0,,,,,2240353.0,2376076.0,8725530.0,2167486.0,,,,,,3913033.0,1791192.0,,8642011.0,,,,,,,2287619.0,1805525.0,,,,,,1802308.0,2484591.0,,12954604.0,,,,,,,,,1796725.0,3222511.0,2486663.0,,,,,,,,,2512107.0,1809572.0,22809600.0,,,,,,,1813558.0,9328548.0,,,,,,,,,,,10451591.0,2066103.0,1816200.0,,,,2235005.0,,2355684.0,9728580.0,1855611.0,,,,,,29242450.0,,,,,,1830402.0,2570108.0,,29947440.0,,,,,1874889.0,2099149.0,,2265035.0,,1800300.0,,,,,,,9203943.0,3357572.0,,,,,,,19134428.0,,2049314.0,42397601.0,1826698.0,,,,,,,8455657.0,1835566.0,2856465.0,,14316785.0,,,,,,,13853034.0,4632600.0,,4601240.0,2998492.0,2475693.0,,,,,,9217118.0,1820064.0,2194942.0,,,,,3201903.0,9880004.0,1868506.0,,,,,,,2273441.0,9966985.0,1830578.0,,,,,1956459.0,9539130.0,,2394183.0,,,,,,2531826.0,,1812079.0,,,,,,,2862718.0,9076027.0,,,,,,,,,1832779.0,9671138.0,,,,,,1858225.0,,,,1791264.0,38753455.0,,,8998810.0,3180809.0,,,16931726.0,2383441.0,,,,,,9267155.0,1842499.0,4944210.0,,,,,,,,
17.06.20,,,,,10165667.0,,2285804.0,,,,,2174185.0,2378219.0,8809642.0,2158869.0,,,,,,3889484.0,1790502.0,,8732763.0,,,,,,,2223427.0,1798041.0,,,,,,1806966.0,2463547.0,,12855577.0,,,,,,,,,1807780.0,2906924.0,2353936.0,,,,,,,,,2624333.0,1805302.0,23268236.0,,,,,,,1807226.0,9123320.0,,,,,,,,,,,10339051.0,2035754.0,1810423.0,,,,2266120.0,,2303280.0,9687175.0,1861543.0,,,,,,29042275.0,,,,,,1817186.0,2370235.0,,31017951.0,,,,,1877055.0,2082623.0,,2338384.0,,1794353.0,,,,,,,9378512.0,3327959.0,,,,,,,18180883.0,,2055600.0,41809576.0,1822429.0,,,,,,,8372059.0,1830941.0,2789744.0,,14050566.0,,,,,,,14640558.0,4756545.0,,4546388.0,2942052.0,2384889.0,,,,,,9397560.0,1816658.0,2191393.0,,,,,3245526.0,9858520.0,1861810.0,,,,,,,2232083.0,9637362.0,1837332.0,,,,,1948564.0,9253406.0,,2391251.0,,,,,,2497374.0,,1821622.0,,,,,,,2777367.0,9114128.0,,,,,,,,,1840680.0,9426138.0,,,,,,1862724.0,,,,1786708.0,38440517.0,,,8954211.0,3128243.0,,,16222564.0,2597965.0,,,,,,9502514.0,1861900.0,4850606.0,,,,,,,,
17.06.21,,,,,10203810.0,,2362232.0,,,,,2134585.0,2367044.0,9041664.0,2163011.0,,,,,,3874608.0,1803081.0,,9097485.0,,,,,,,2180852.0,1819933.0,,,,,,1810675.0,2486968.0,,12822305.0,,,,,,,,,1813790.0,2885463.0,2336294.0,,,,,,,,,2596856.0,1813678.0,23046150.0,,,,,,,1831883.0,9298725.0,,,,,,,,,,,9920361.0,2089312.0,1816432.0,,,,2301237.0,,2278144.0,9726197.0,1891033.0,,,,,,28851596.0,,,,,,1839484.0,2423040.0,,31511588.0,,,,,1886812.0,2140220.0,,2357848.0,,1810619.0,,,,,,,9463312.0,3175694.0,,,,,,,17975802.0,,2074303.0,42577162.0,1833372.0,,,,,,,8248255.0,1842753.0,2913255.0,,13997315.0,,,,,,,14368213.0,4765331.0,,4414880.0,2957789.0,2407442.0,,,,,,9295870.0,1830205.0,2248473.0,,,,,3258866.0,9734818.0,1873823.0,,,,,,,2216794.0,9643919.0,1852034.0,,,,,1958891.0,9609887.0,,2354722.0,,,,,,2453869.0,,1822519.0,,,,,,,3066125.0,9147003.0,,,,,,,,,1849076.0,9451547.0,,,,,,1873734.0,,,,1799507.0,38414952.0,,,8667159.0,3230002.0,,,16092328.0,2507485.0,,,,,,9200231.0,1888910.0,4942235.0,,,,,,,,
17.06.22,,,,,10160582.0,,2350786.0,,,,,2217699.0,2346307.0,9050849.0,2185127.0,,,,,,3854704.0,1863230.0,,9029627.0,,,,,,,2208941.0,1887649.0,,,,,,1872250.0,2471551.0,,12317791.0,,,,,,,,,1872208.0,2812160.0,2351186.0,,,,,,,,,2657158.0,1882001.0,23343959.0,,,,,,,1901761.0,9589252.0,,,,,,,,,,,9750544.0,2056395.0,1876147.0,,,,2313299.0,,2303876.0,9913708.0,1933260.0,,,,,,28879760.0,,,,,,1908378.0,2362745.0,,30859238.0,,,,,1949407.0,2198748.0,,2327343.0,,1881306.0,,,,,,,8862314.0,3172976.0,,,,,,,18473135.0,,2142561.0,42492109.0,1890729.0,,,,,,,8157134.0,1903900.0,2859557.0,,13536969.0,,,,,,,14183537.0,4674336.0,,4229848.0,2997448.0,2429103.0,,,,,,9171592.0,1893307.0,2229372.0,,,,,3422904.0,9434066.0,1932155.0,,,,,,,2230877.0,9653720.0,1933166.0,,,,,2021895.0,9479394.0,,2477361.0,,,,,,2464910.0,,1888808.0,,,,,,,2804690.0,9159646.0,,,,,,,,,1931952.0,9426396.0,,,,,,1928424.0,,,,1873236.0,38985633.0,,,8564373.0,3288736.0,,,15719102.0,2524834.0,,,,,,9044347.0,1927834.0,4833298.0,,,,,,,,
