x,首饰-戒指-蓬勃生命的落幕,首饰-戒指-命运的捉弄,首饰-戒指-次元穿越者之印,首饰-戒指-支配黑暗之环,首饰-戒指-祝福之风 - 西尔芙,首饰-戒指-红兔之祝福,首饰-戒指-寂静无言之露珠,首饰-戒指-盖柏 : 完美的均衡,首饰-戒指-无念剑环,首饰-戒指-先贤的馈赠戒指,首饰-戒指-骸麒之戒,首饰-戒指-维度粉碎戒指,首饰-戒指-污浊之魂戒指 - 毒,首饰-戒指-污浊之魂戒指 - 血,首饰-戒指-释灵渊,首饰-戒指-伪装者的迷惑之戒,首饰-戒指-武之禅 - 静心,首饰-戒指-王权之卫 - 火,首饰-戒指-污浊之魂戒指 - 电,首饰-戒指-龙战玄黄 - 血战之灵,首饰-戒指-魔晶进化 - 智者之心,首饰-戒指-污浊之魂戒指 - 乱,首饰-手镯-狂乱之坚如磐石,首饰-手镯-支配战场的呐喊,首饰-手镯-执着的探求,首饰-手镯-火魔之焰 - 沙罗曼达,首饰-手镯-白象之庇护,首饰-手镯-拥抱晨曦之温暖,首饰-手镯-莱多 : 变幻的规律,首饰-手镯-无言怒火,首饰-手镯-先贤的馈赠手镯,首饰-手镯-噙毒手套,首饰-手镯-天衍万物,首饰-称号-精灵的思乡夜曲,首饰-称号-纵横次元,首饰-称号-时空游侠,首饰-称号-时空旅人,首饰-称号-希望之启示,首饰-称号-信念之启示,首饰-项链-激狂之怒,首饰-项链-悲痛者项链,首饰-项链-引路者的四季项链,首饰-项链-堕落世界树之生命,首饰-项链-冷焰之冰 - 温蒂妮,首饰-项链-四叶草之初心,首饰-项链-驱散月光之黎明,首饰-项链-肯那兹 : 精神燎原之火,首饰-项链-无形青岩,首饰-项链-先贤的馈赠项链,首饰-项链-先知者的预言,首饰-项链-百变千蛛,首饰-戒指-鸣风之舞指环,首饰-戒指-污浊之魂戒指 - 暗,首饰-戒指-王权之卫 - 风,首饰-戒指-里昂的意念之戒,首饰-戒指-黑暮瞳,首饰-戒指-忆古昔 - 平乱诀,首饰-戒指-杰诺的支配之戒,首饰-戒指-双生之环戒指,首饰-戒指-芝诺的毁灭之戒,首饰-戒指-圣物:荣耀的阴影之迹戒指,首饰-手镯-维度冲击臂环,首饰-手镯-贝奇的玩具手镯,首饰-手镯-牛头械王的超能手环,首饰-手镯-咕噜的指南针手环,首饰-手镯-王权之卫 - 守护,首饰-手镯-剥筋蚀骨手镯,首饰-手镯-龙战玄黄 - 激战之魂,首饰-手镯-极光之舞手镯,首饰-手镯-武之禅 - 灼炎,首饰-手镯-牛头统帅的权威手环,首饰-手镯-万兽之瞳,首饰-手镯-冰封雪殒手镯,首饰-称号-永恒战吼,首饰-称号-永恒判罪,首饰-称号-永恒追猎,首饰-称号-使徒降临,首饰-称号-权御九界,首饰-称号-无畏牺牲者,首饰-称号-无畏死亡者,首饰-称号-无畏战争者,首饰-称号-无畏战斗者,首饰-称号-超越极限者,首饰-称号-与艾丽西亚相逢,首饰-称号-与贝奇邂逅,首饰-称号-雷姆的真心,首饰-项链-天御万物,首饰-项链-杀戮之决,首饰-项链-逝魔之痕,首饰-项链-维度定位项链,首饰-项链-公爵尤里斯的野心,首饰-项链-寒蝉鸣泣之石,首饰-项链-黑月之潮,首饰-项链-天火之祀,首饰-项链-哈尼克的骨甲链,首饰-项链-不动如山,首饰-项链-黄金翡翠项链,首饰-项链-恋人永隔之凄清项链,首饰-项链-落炎之舞项坠,首饰-项链-成王之志,首饰-戒指-波罗丁的迷离之戒,首饰-戒指-黑雾之牙,首饰-戒指-污浊之魂戒指 - 石,首饰-戒指-污浊之魂戒指 - 咒,首饰-戒指-咕噜珍藏的机械手环,首饰-戒指-梦幻列车长的幽灵戒指,首饰-戒指-瘟疫蔓延之戒,首饰-戒指-污浊之魂戒指 - 缚,首饰-戒指-污浊之魂戒指 - 冰,首饰-戒指-污浊之魂戒指 - 缓,首饰-戒指-尤里斯的次元之戒,首饰-手镯-魔灵瞳 - 仇魂之刃,首饰-手镯-纪元之石手镯,首饰-手镯-混沌之影,首饰-手镯-巫咒之灵,首饰-手镯-魔晶进化 - 残忍之嗜,首饰-手镯-毒雾云绕手镯,首饰-手镯-戮蛊的自愈手环,首饰-手镯-圣物:荣耀的阴影之迹手镯,首饰-手镯-永恒之守护手镯,首饰-手镯-咕噜的多功能手环,首饰-手镯-黑雾迷云手环,首饰-手镯-光电之子,首饰-称号-拉姆的鼓舞,首饰-称号-碧翠丝的信任,首饰-称号-爱蜜莉雅的慰藉,首饰-称号-海洋霸主,首饰-称号-百发百中,首饰-称号-继承者,首饰-称号-哥特迷情（魔翼）,首饰-称号-盛晴狂欢泼水大王,首饰-称号-神之试炼的奖赏,首饰-称号-热浪舞者,首饰-项链-四方神印,首饰-项链-逝冰之舞项坠,首饰-项链-武之禅 - 制怒,首饰-项链-龙战玄黄 - 怒战之心,首饰-项链-暴戾祭祀项链,首饰-项链-凯恩的骷髅吊坠,首饰-项链-暴戾搜捕团的信仰之力,首饰-项链-魔力逆流项链,首饰-项链-魔灵瞳 - 生死之契,首饰-项链-魔灵祭祀项坠,首饰-项链-魔咒之骸,首饰-戒指-污浊之魂戒指 - 晕,首饰-戒指-噩梦惊魂指环,首饰-戒指-兰诺的意志之戒,首饰-手镯-王权之卫 - 光,首饰-手镯-忆古昔 - 龙翔击,首饰-称号-盛晴狂欢水球大王,首饰-称号-秘境迷踪,首饰-称号-海滨的呼唤,首饰-称号-宅邸迷云,首饰-称号-哥特绮梦（魔翼）,首饰-称号-权贵者,首饰-称号-哥特绮梦（圣羽）,首饰-称号-圆桌骑士,首饰-称号-深海的呼唤,首饰-称号-街头舞者,首饰-项链-魔晶进化 - 智慧之泉,首饰-项链-王权之卫 - 冰,首饰-项链-凶咒之祸,首饰-项链-警卫队长的金玉项链,首饰-项链-无上之威严,首饰-项链-阿波菲斯的魔刃指环,首饰-称号-朝圣者,首饰-称号-圣殿之巅,首饰-称号-密林舞者,首饰-称号-竞技舞者,首饰-称号-瑞灵天狩 - 威,首饰-称号-哥特迷情（圣羽）,首饰-称号-骑士王的荣耀,首饰-称号-兽人守护神,首饰-称号-瑞灵天狩 - 慧,首饰-称号-塔楼迷踪,首饰-称号-龙之挑战,首饰-称号-三英雄［侠］,首饰-称号-荣耀贵族,首饰-称号-盛晴狂欢水枪大王,首饰-戒指-魔灵瞳 - 杀呐之音,首饰-戒指-污浊之魂戒指 - 火,首饰-手镯-时间指引之针,首饰-称号-隐忍之启示,首饰-称号-勇气之启示,首饰-项链-全能霸域,首饰-戒指-耀武锋芒指环,首饰-戒指-盗墓王的弥留之戒,首饰-手镯-巨灵布鲁的咒蕴手镯,首饰-戒指-灼灼其华之戒,首饰-称号-最快枪手,首饰-项链-忆古昔 - 青草绿,首饰-项链-圣物:荣耀的阴影之迹胸针,首饰-称号-沙滩的呼唤,首饰-称号-街道迷影,首饰-称号-骑士之誓[暗],首饰-称号-骑士之誓[光],首饰-称号-骑士之誓[冰],首饰-称号-骑士之誓[火],首饰-称号-三英雄[义]
17.06.13,,,,,,,,,,,,,3979716.0,5073629.0,4775697.0,3798296.0,32647130.0,7792904.0,5858900.0,1497501.0,1486196.0,3580483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4342776.0,3876785.0,4539887.0,6194261.0,4210690.0,1582515.0,21097382.0,16232271.0,5852564.0,,,26572809.0,16222496.0,4077807.0,12903977.0,10076956.0,2530344.0,6528471.0,19308302.0,5101333.0,2994816.0,4487608.0,,,,,,,,,,,,,,,,,,4341337.0,7146296.0,4263740.0,3048987.0,4037408.0,11349114.0,3764693.0,3623582.0,6039800.0,3950848.0,5739855.0,3062347.0,3924241.0,4500966.0,4175372.0,4158271.0,7022822.0,3415801.0,4775530.0,3604744.0,6617149.0,4410783.0,3995585.0,3438919.0,7141882.0,2201610.0,8247816.0,4268496.0,,5770344.0,4817639.0,5510537.0,4979402.0,,,,,,35417170.0,0.0,13614744.0,,,18389563.0,5679890.0,21719367.0,2374074.0,4903754.0,5607584.0,4798998.0,6584899.0,4103241.0,6563688.0,4695294.0,3755381.0,7351073.0,10576154.0,9360885.0,4618590.0,14139057.0,,,,0.0,36541178.0,0.0,8049928.0,,,2404525.0,5603107.0,4201868.0,23888726.0,5595952.0,10162331.0,0.0,34422531.0,,,21789333.0,0.0,14219125.0,,0.0,,19834957.0,18767647.0,40567195.0,15156270.0,1489997.0,3750978.0,,,,,3897887.0,4029660.0,4179570.0,6286517.0,,3412761.0,,,,,,,,30133319.0
17.06.14,,,,,,,,,,,,,4396356.0,5223985.0,4964463.0,3783806.0,33707007.0,7248882.0,5718505.0,1446297.0,1449271.0,3896461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4377939.0,3873073.0,4539422.0,6375028.0,4139447.0,1503349.0,21456177.0,16243587.0,5758268.0,,,26038644.0,16002199.0,4290454.0,13224115.0,9918726.0,2448184.0,6530552.0,18604822.0,5352196.0,3121101.0,4506938.0,,,,,,,,,,,,,,,,,,4233703.0,6945065.0,4331912.0,3205025.0,3851379.0,11591926.0,3863777.0,3779578.0,5778247.0,3973480.0,5627730.0,3182739.0,3938318.0,4339851.0,4001148.0,4134953.0,7062243.0,4058439.0,4771732.0,3924031.0,6723053.0,4450415.0,4059275.0,3562483.0,7563021.0,2212921.0,8678543.0,4321443.0,,6012800.0,4810229.0,5499623.0,5047313.0,,,,,,36014718.0,0.0,13394682.0,,,18400105.0,6053271.0,22197331.0,2361109.0,5017490.0,5657874.0,4819663.0,6530680.0,3508171.0,6488626.0,4796283.0,3851780.0,7313039.0,10847474.0,9590519.0,4848361.0,13737847.0,,,,0.0,37324993.0,0.0,8944381.0,,,2353195.0,5382130.0,4152027.0,23741991.0,5541391.0,9944214.0,0.0,33791204.0,,,22621161.0,0.0,14222801.0,,0.0,,19905566.0,19339974.0,40567788.0,14964235.0,1442786.0,3612021.0,,,,,3842450.0,4163758.0,4114878.0,6683063.0,,3102312.0,,,,,,,,28619619.0
17.06.15,,,,,,,,,,,,,4614289.0,5078559.0,4975821.0,3848710.0,32672298.0,7498720.0,5368678.0,1424292.0,1404251.0,3830316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4230118.0,4019862.0,4562245.0,6775141.0,4375345.0,1507032.0,21506674.0,16047591.0,5813503.0,,,25536479.0,16084916.0,4294304.0,14075433.0,10584163.0,2346733.0,6385486.0,18619478.0,5274349.0,3224498.0,4344673.0,,,,,,,,,,,,,,,,,,4296790.0,6856893.0,4229736.0,3302144.0,4011424.0,12018204.0,3998441.0,4071139.0,5462362.0,3829668.0,5785395.0,3306923.0,3754626.0,4323508.0,4057776.0,4274232.0,6822456.0,4364781.0,4416903.0,3998788.0,6836658.0,4143923.0,4160415.0,3663865.0,7549158.0,2123919.0,8648319.0,4287221.0,,6059479.0,4799585.0,5255538.0,4884025.0,,,,,,38630518.0,0.0,13577057.0,,,18239542.0,5485391.0,22651460.0,2300493.0,5223859.0,5543710.0,5141627.0,6708566.0,3747387.0,6764102.0,4883590.0,3992431.0,7089217.0,11398579.0,9379882.0,4768654.0,13778344.0,,,,0.0,37234585.0,0.0,7608097.0,,,2323092.0,5317372.0,4353889.0,22927499.0,5581713.0,9987211.0,0.0,33400941.0,,,23345096.0,0.0,14098254.0,,0.0,,20181698.0,18675927.0,41443506.0,14616002.0,1440941.0,3857146.0,,,,,4203374.0,4126844.0,4006844.0,6575675.0,,3137238.0,,,,,,,,29843698.0
17.06.16,,,,,,,,,,,,,4595158.0,5434329.0,4855732.0,3915141.0,32193959.0,7381484.0,5692143.0,1377120.0,1372935.0,3898028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4236412.0,3829741.0,4509432.0,6806782.0,4347266.0,1480188.0,21359774.0,15912924.0,5646457.0,,,25569734.0,15716393.0,4222505.0,14078602.0,10553101.0,2274267.0,6877645.0,19289328.0,5445859.0,3217000.0,4415631.0,,,,,,,,,,,,,,,,,,4415774.0,6815678.0,4394218.0,3302772.0,4171290.0,13114951.0,3966440.0,4015191.0,5718271.0,4262669.0,5879380.0,3294055.0,4090399.0,4391516.0,4114270.0,4253527.0,7055783.0,4238038.0,4700060.0,3907537.0,6967734.0,3972583.0,4125185.0,3673728.0,7477259.0,2057131.0,8548521.0,4443299.0,,5929677.0,4636833.0,5372447.0,5005825.0,,,,,,39115056.0,0.0,13632937.0,,,17935963.0,5817942.0,22695579.0,2205591.0,5219691.0,5553337.0,5019005.0,6633752.0,3510926.0,6596084.0,5099535.0,4327109.0,7181495.0,11832549.0,9076917.0,3875824.0,14070430.0,,,,0.0,36918860.0,0.0,8424687.0,,,2299655.0,5220582.0,4557562.0,22696732.0,5879789.0,9772339.0,0.0,34730317.0,,,20186903.0,0.0,14121624.0,,14212337.0,,19938549.0,18795888.0,41158442.0,14533914.0,1422371.0,3873337.0,,,,,4248973.0,4284856.0,3984569.0,6188026.0,,3031010.0,,,,,,,,30606644.0
17.06.17,,,,,,,,,,,,,4650690.0,5377045.0,4800926.0,3888248.0,31791126.0,7474194.0,5793891.0,1366662.0,1322659.0,4022074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4129289.0,4064076.0,4535476.0,7009444.0,4426677.0,1440929.0,21359908.0,16063181.0,5675150.0,,,25245667.0,15599475.0,4304085.0,14651166.0,10825382.0,2171353.0,6842335.0,19323032.0,5287016.0,3170987.0,4553226.0,,,,,,,,,,,,,,,,,,4434827.0,7668805.0,4280091.0,3275052.0,4262937.0,14037011.0,4042472.0,4047440.0,5360610.0,4359873.0,5840802.0,3273591.0,4119968.0,3929067.0,4439909.0,4927600.0,6617568.0,4143434.0,4500896.0,4119399.0,6764006.0,4661426.0,4137276.0,3670613.0,7581374.0,1975649.0,7967820.0,4609467.0,,5798273.0,4417082.0,5214902.0,5017035.0,,,,,,36215568.0,0.0,13603410.0,,,17705275.0,5437934.0,22659556.0,2161785.0,5484024.0,5680581.0,4955070.0,6616753.0,3296618.0,6854735.0,5007101.0,4248868.0,6700945.0,12008447.0,9013744.0,4177871.0,14094679.0,,,,0.0,36840825.0,0.0,8137382.0,,,2284465.0,5474317.0,4600309.0,21987752.0,6061185.0,9530837.0,0.0,31848702.0,,,24985838.0,0.0,14201680.0,,0.0,,19843925.0,17647341.0,40409717.0,14154919.0,1411481.0,4545820.0,,,,,4107275.0,4078245.0,4620374.0,6078246.0,,2816868.0,,,,,,,,30184432.0
17.06.18,,,,,,,,,,,,,4487858.0,5036391.0,4606971.0,3959400.0,30845355.0,7422523.0,5344706.0,1334177.0,1313319.0,3875960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4004588.0,4184189.0,4784909.0,6981700.0,4649409.0,1383085.0,21469873.0,15677172.0,5827689.0,,,25516646.0,15218676.0,4209592.0,15370363.0,10549720.0,2214352.0,6829110.0,18654701.0,5309619.0,3175714.0,4544988.0,,,,,,,,,,,,,,,,,,4588713.0,7744101.0,4422696.0,3241182.0,4121764.0,14772321.0,3961163.0,4167641.0,5692659.0,4354680.0,5922445.0,3233571.0,4028778.0,4183858.0,4433037.0,4832008.0,6469890.0,4004231.0,4763684.0,4069442.0,6441425.0,4400815.0,4100259.0,3808909.0,7533841.0,1951070.0,8356563.0,4509271.0,,5612166.0,4154762.0,5146347.0,4830986.0,,,,,,35715505.0,0.0,13399034.0,,,17823632.0,5447463.0,22839041.0,2141084.0,5405388.0,5705080.0,4850441.0,6685530.0,3527575.0,6628952.0,4942864.0,3864117.0,6494420.0,12455922.0,8863229.0,3981829.0,14267681.0,,,,0.0,36999434.0,0.0,7804025.0,,,2157958.0,5196894.0,4356386.0,21904844.0,5821561.0,9583589.0,0.0,31777098.0,,,21262556.0,0.0,14258523.0,,14322013.0,,20223762.0,18381254.0,40727570.0,14460679.0,1391990.0,4142335.0,,,,,4106664.0,4089214.0,4585508.0,6462755.0,,2808157.0,,,,,,,,30339053.0
17.06.19,,,,,,,,,,,,,4152626.0,5116601.0,5057927.0,3852905.0,31223197.0,7686500.0,5375057.0,1347761.0,1296381.0,3848897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3975846.0,4336096.0,4917622.0,7194618.0,4575361.0,1379960.0,21707468.0,15652963.0,5984078.0,,,25490947.0,15393519.0,4139858.0,15644032.0,10306343.0,2185145.0,6789136.0,19149212.0,5094048.0,3160048.0,4653546.0,,,,,,,,,,,,,,,,,,4667111.0,8072217.0,4357799.0,3247196.0,4267300.0,15325094.0,3862315.0,4237205.0,5691237.0,4243011.0,5860107.0,3235277.0,4262671.0,4150649.0,4326369.0,4594898.0,6810158.0,4309063.0,4578537.0,3898190.0,6360459.0,4012886.0,4064801.0,3752368.0,7610327.0,1944895.0,8200737.0,4230671.0,,5823895.0,4118950.0,5602464.0,4902006.0,,,,,,36154815.0,0.0,13555521.0,,,17724862.0,5544792.0,22053962.0,2068189.0,5212812.0,5610851.0,4951134.0,6588694.0,3399970.0,6395567.0,4982420.0,3849015.0,6712039.0,12752621.0,8980781.0,4464569.0,14537359.0,,,,0.0,37598402.0,0.0,8360569.0,,,2135837.0,5288278.0,4186007.0,21959130.0,5854923.0,9673206.0,0.0,31707411.0,,,23176802.0,0.0,14205315.0,,0.0,,20199467.0,18848157.0,40287581.0,14963149.0,1395539.0,3912629.0,,,,,3966950.0,4108609.0,4448192.0,6452037.0,,2955255.0,,,,,,,,29542466.0
17.06.20,,,,,,,,,,,,,3910201.0,5103076.0,4858324.0,3870474.0,31950131.0,7513458.0,5354434.0,1335898.0,1299985.0,4177256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4012394.0,3873538.0,4825162.0,7571112.0,4777103.0,1368900.0,21604146.0,15637982.0,5779526.0,,,25771550.0,15195740.0,4349176.0,16031251.0,10086400.0,2118021.0,6882683.0,20313655.0,5088150.0,3158714.0,4696645.0,,,,,,,,,,,,,,,,,,4727255.0,7960733.0,4331196.0,3246927.0,4025473.0,15193439.0,3952478.0,4075055.0,5719486.0,4235113.0,5777634.0,3212602.0,4327532.0,4149040.0,4313927.0,4693026.0,7012934.0,4029330.0,4645600.0,4046138.0,6306710.0,4274451.0,4015253.0,3820751.0,7379291.0,1921053.0,8301983.0,4397025.0,,6072911.0,4354296.0,5596416.0,4827942.0,,,,,,34884948.0,0.0,13307188.0,,,17812036.0,5084137.0,22814429.0,2073004.0,5255596.0,5534683.0,4915200.0,6614416.0,3487324.0,6565923.0,5025226.0,3912041.0,6585295.0,13111292.0,8594427.0,4241934.0,14726331.0,,,,0.0,38523855.0,0.0,7729773.0,,,2061456.0,5387445.0,4414460.0,23131869.0,5487102.0,9474931.0,0.0,33244014.0,,,0.0,0.0,14179776.0,,0.0,,19930512.0,18668834.0,40115445.0,14464226.0,1431058.0,3853014.0,,,,,3860727.0,4165131.0,4221939.0,6270339.0,,2890433.0,,,,,,,,28904532.0
17.06.21,,,,,,,,,,,,,4282775.0,5019710.0,5135264.0,3954419.0,32357717.0,7425976.0,5248676.0,1381853.0,1301229.0,4705540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3915326.0,3614538.0,4791746.0,7725443.0,4462476.0,1359034.0,21352823.0,15927708.0,5913695.0,,,25613577.0,15034726.0,4287206.0,16293903.0,9888752.0,2113870.0,6112625.0,20132235.0,5392789.0,3187190.0,4571342.0,,,,,,,,,,,,,,,,,,4542714.0,8058800.0,4359889.0,3276031.0,3993142.0,15124570.0,3995172.0,4201672.0,5297586.0,4172526.0,5824126.0,3252986.0,3940101.0,4328281.0,4270906.0,4409790.0,6941019.0,4009577.0,4517860.0,4218285.0,6476607.0,4527994.0,4033122.0,3726526.0,7512900.0,1875336.0,8270890.0,4505169.0,,6104785.0,4301928.0,5520791.0,4778712.0,,,,,,36280601.0,0.0,13209642.0,,,17576704.0,5408758.0,22019059.0,2090047.0,5171044.0,5341458.0,4783672.0,6438831.0,3264968.0,6283436.0,5012266.0,4146119.0,6475657.0,13397882.0,8697343.0,4241438.0,14107410.0,,,,0.0,38139186.0,0.0,8057787.0,,,2086990.0,5543571.0,4169507.0,23384100.0,5511045.0,9314648.0,0.0,32142055.0,,,0.0,0.0,14149651.0,,0.0,,19708686.0,18932787.0,40535591.0,14804888.0,1429192.0,4082376.0,,,,,3894693.0,4361886.0,4142282.0,6095641.0,,2750286.0,,,,,,,,30887614.0
17.06.22,,,,,,,,,,,,,4384293.0,4860666.0,5146243.0,3807623.0,30389654.0,7133034.0,5206958.0,1401939.0,1334093.0,4283143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093032.0,3948204.0,4689467.0,7621379.0,4358477.0,1394590.0,21233240.0,15779850.0,6080920.0,,,25280161.0,14982769.0,4263662.0,16299612.0,9981847.0,2103007.0,6649303.0,19945304.0,5275489.0,3259628.0,4551052.0,,,,,,,,,,,,,,,,,,4863789.0,7822718.0,4453985.0,3350839.0,3802750.0,15522484.0,3824095.0,4032799.0,5605494.0,4186756.0,5958128.0,3345091.0,3981158.0,4012963.0,4167633.0,4237180.0,6629921.0,3807193.0,4574013.0,4144406.0,6355704.0,3922110.0,4009738.0,3793610.0,7625854.0,1830861.0,7821939.0,4342774.0,,6014424.0,4487763.0,5536647.0,4735160.0,,,,,,34708189.0,0.0,13483432.0,,,17761110.0,5463813.0,20913582.0,2182559.0,5117406.0,5317514.0,4831346.0,6266455.0,3514607.0,6406383.0,4963817.0,4398112.0,6381943.0,13220487.0,8438215.0,3903328.0,13845712.0,,,,0.0,38774374.0,0.0,7651007.0,,,2115035.0,5457659.0,4238083.0,22405169.0,5429034.0,8780876.0,0.0,30818089.0,,,29693621.0,82126211.0,14107160.0,,0.0,,19875737.0,18820672.0,39747443.0,14306667.0,1488315.0,3817219.0,,,,,3964881.0,4365973.0,4356866.0,5959487.0,,2729689.0,,,,,,,,30191094.0
