x,副职业-副职材料-GT-9600 卡片,副职业-副职材料-人鱼之王图雷 卡片,副职业-副职材料-传道士奥赛弗 卡片,副职业-副职材料-修嘉璐 卡片,副职业-副职材料-光剑克洛 卡片,副职业-副职材料-兔女郎伊伦丝 卡片,副职业-副职材料-全金属机甲 卡片,副职业-副职材料-全金属机甲斗神 卡片,副职业-副职材料-公义之奈克斯 卡片,副职业-副职材料-公爵尤里斯 卡片,副职业-副职材料-兽王乌塔拉 卡片,副职业-副职材料-净化之施内德 卡片,副职业-副职材料-刀疤鼠 卡片,副职业-副职材料-包容之昙娜 卡片,副职业-副职材料-北极风纳斯拉 卡片,副职业-副职材料-占星师罗赛洛 卡片,副职业-副职材料-卢克西 卡片,副职业-副职材料-变异的杰玛尔 卡片,副职业-副职材料-叹息之兰帕德 卡片,副职业-副职材料-吞噬之厄伽勒 卡片,副职业-副职材料-吞噬魔 卡片,副职业-副职材料-吟游诗人艾丽丝 卡片,副职业-副职材料-命运之诺伦 卡片,副职业-副职材料-噩梦之内尔贝 卡片,副职业-副职材料-噩梦之源 卡片,副职业-副职材料-囚徒之麦克罗里 卡片,副职业-副职材料-圣者米歇尔 卡片,副职业-副职材料-地狱三头犬 卡片,副职业-副职材料-堕落的阿索尔 卡片,副职业-副职材料-大型玛努斯 卡片,副职业-副职材料-契约者奈里 卡片,副职业-副职材料-奴隶商梅希 卡片,副职业-副职材料-妖女娜姆 卡片,副职业-副职材料-宇宙恶魔：罗什 (纯白) 卡片,副职业-副职材料-宇宙恶魔：罗什 (黑暗) 卡片,副职业-副职材料-安徒恩的心脏 卡片,副职业-副职材料-小狗坨坨 卡片,副职业-副职材料-小美人鱼空空伊 卡片,副职业-副职材料-尼尔巴斯·格拉西亚 卡片,副职业-副职材料-巡视者梅尔塔 卡片,副职业-副职材料-巨型烈焰傀儡的卡片,副职业-副职材料-巨锤小丑 卡片,副职业-副职材料-希特拉克 卡片,副职业-副职材料-常春魔藤 卡片,副职业-副职材料-平手的多米尼 卡片,副职业-副职材料-幼年赫斯 卡片,副职业-副职材料-强韧的冒险家灵魂,副职业-副职材料-德拉尔 卡片,副职业-副职材料-怨恨之摩根 卡片,副职业-副职材料-恐怖之阿斯特罗斯 卡片,副职业-副职材料-悲痛的布冯 卡片,副职业-副职材料-慈悲之维塔 卡片,副职业-副职材料-憎恶之贝伊尔 卡片,副职业-副职材料-拉索迪亚 卡片,副职业-副职材料-无头骑士 卡片,副职业-副职材料-无形之希洛克 卡片,副职业-副职材料-无念之希洛克-莱斯特 卡片,副职业-副职材料-无我之希洛克-拉维茜 卡片,副职业-副职材料-无言之希洛克 - 吉里 卡片,副职业-副职材料-普纳托尔·铎尔丘 卡片,副职业-副职材料-暗之偶像阿努比斯 卡片,副职业-副职材料-暴走德瑞斯 卡片,副职业-副职材料-机动队长苏雷德 卡片,副职业-副职材料-机械吉赛尔 卡片,副职业-副职材料-机械顽童咕噜 卡片,副职业-副职材料-杰森·格里克 卡片,副职业-副职材料-格拉古尔 卡片,副职业-副职材料-格莱德·艾科斯 卡片,副职业-副职材料-梅迪亚 卡片,副职业-副职材料-梦幻列车长拉宾特 卡片,副职业-副职材料-歼灭之内尔贝 卡片,副职业-副职材料-治疗师索纳尔 卡片,副职业-副职材料-泽忒斯 卡片,副职业-副职材料-派普·乔 卡片,副职业-副职材料-海鲨王加顿 卡片,副职业-副职材料-淘气的贝奇 卡片,副职业-副职材料-混沌之奥兹玛 卡片,副职业-副职材料-湮灭之弗雷伊内斯 卡片,副职业-副职材料-漫游者麦吉 卡片,副职业-副职材料-灵幻师 卡片,副职业-副职材料-炎猫妖 卡片,副职业-副职材料-炽炎之艾格尼丝 卡片,副职业-副职材料-熔岩虫 卡片,副职业-副职材料-熔弹萨缪尔 卡片,副职业-副职材料-爆炎剑守护者 卡片,副职业-副职材料-爆龙王巴卡尔 卡片,副职业-副职材料-牛头统帅 卡片,副职业-副职材料-犬人哈多 卡片,副职业-副职材料-犬使摩震 卡片,副职业-副职材料-狂乱的伪装者 卡片,副职业-副职材料-狂热者迪欧尔贝 卡片,副职业-副职材料-狄瑞吉的幻影 卡片,副职业-副职材料-狗头人班希亚 卡片,副职业-副职材料-猎杀草 卡片,副职业-副职材料-生命之息,副职业-副职材料-疯狂殉道者 亚丁·巴德 卡片,副职业-副职材料-疯蚁杜兰特 卡片,副职业-副职材料-皎玉之哈尔巴特 卡片,副职业-副职材料-磁力恶魔：普拉 卡片,副职业-副职材料-磁力恶魔：马格内特 卡片,副职业-副职材料-空间支配者伽乌尼斯 卡片,副职业-副职材料-第七之米斯特尔 卡片,副职业-副职材料-第三英雄 铁血剑士巴赫 卡片,副职业-副职材料-粉碎之阿托尔 卡片,副职业-副职材料-红色小丑 卡片,副职业-副职材料-纯血者德瓦斯特 卡片,副职业-副职材料-老千考里斯 卡片,副职业-副职材料-花郎道 卡片,副职业-副职材料-范哲利斯 卡片,副职业-副职材料-莫格尼斯 卡片,副职业-副职材料-蓝影马萨乔 卡片,副职业-副职材料-蓝色魔女 卡片,副职业-副职材料-虫王戮蛊 卡片,副职业-副职材料-蜘蛛公主安吉丽娜 卡片,副职业-副职材料-血剑比拉多 卡片,副职业-副职材料-被囚禁的开普洛斯 卡片,副职业-副职材料-西克特·帕菲斯 卡片,副职业-副职材料-诺丝克尔 卡片,副职业-副职材料-贝里斯克 卡片,副职业-副职材料-超合金恶魔：艾罗伊 卡片,副职业-副职材料-超越之诺尔妮 卡片,副职业-副职材料-迷雾中的暗杀者 卡片,副职业-副职材料-邪龙斯皮兹 卡片,副职业-副职材料-邪龙斯皮兹头部 卡片,副职业-副职材料-野兽师鲁乌格 卡片,副职业-副职材料-量产型贝奇 卡片,副职业-副职材料-钢铁巨兽 卡片,副职业-副职材料-钢铁意志 卡片,副职业-副职材料-铁腕公主卡巴莉 卡片,副职业-副职材料-锈剑朱力昂 卡片,副职业-副职材料-锤王波罗丁 卡片,副职业-副职材料-长脚罗特斯  卡片,副职业-副职材料-闪灵萨吉 卡片,副职业-副职材料-阴影之舞耶姆 卡片,副职业-副职材料-阿伽门农之大天使 卡片,副职业-副职材料-阿加雷斯 卡片,副职业-副职材料-阿尔高斯 卡片,副职业-副职材料-雪人燃烧炉 卡片,副职业-副职材料-雷鸣之帕米斯 卡片,副职业-副职材料-飞行侠杰利可 卡片,副职业-副职材料-饥饿的杰克 卡片,副职业-副职材料-驯兽者伽罗华 卡片,副职业-副职材料-高强化阿尔高斯 卡片,副职业-副职材料-魂:倔强的哈尼克 卡片,副职业-副职材料-魂:暴戾搜捕团祭司诺比斯 卡片,副职业-副职材料-魂:牛头械王 卡片,副职业-副职材料-魂:盗墓王 卡片,副职业-副职材料-魂:虫王戮蛊 卡片,副职业-副职材料-魂:锤王波罗丁 卡片,副职业-副职材料-魂:风之涡苏 卡片,副职业-副职材料-魔刹石伊弗 卡片,副职业-副职材料-魔剑贝亚罗 卡片,副职业-副职材料-魔剑阿波菲斯 卡片,副职业-副职材料-魔力溶解剂,副职业-副职材料-魔法巨龙石像的卡片,副职业-副职材料-魔笛使者皮特 卡片,副职业-副职材料-魔雷者麦瑟·莫纳亨 卡片,副职业-副职材料-黄金粉末,副职业-副职材料-黑暗召唤者塔利亚 卡片,副职业-副职材料-黑烟之克雷斯 卡片,副职业-副职材料-龙之心,副职业-控偶师-平凡的灵魂精髓,副职业-控偶师-强韧的灵魂精髓,副职业-控偶师-成熟的冒险家灵魂,副职业-控偶师-成熟的灵魂精髓,副职业-控偶师-淬炼的灵魂精髓,副职业-炼金术师-智慧史诗追踪药剂,副职业-炼金术师-瞬间移动药剂,副职业-炼金术师-神圣祝福药水,副职业-炼金术师-神灵的庇佑,副职业-炼金术师-魔力结晶,副职业-附魔师-光之圣女宝珠,副职业-附魔师-光之英雄宝珠,副职业-附魔师-力量次元宝珠,副职业-附魔师-卡恩之魄 宝珠,副职业-附魔师-卡西利亚斯之魄 宝珠,副职业-附魔师-地龙之魂宝珠,副职业-附魔师-大地之英雄宝珠,副职业-附魔师-奥兹玛之魄 宝珠,副职业-附魔师-守护次元宝珠,副职业-附魔师-寒冰之英雄宝珠,副职业-附魔师-巴卡尔之魄 宝珠,副职业-附魔师-希洛克之魄 宝珠,副职业-附魔师-幻龙之魂宝珠,副职业-附魔师-无色魔力的产物,副职业-附魔师-普雷·伊希斯之魄 宝珠,副职业-附魔师-智力次元宝珠,副职业-附魔师-暗之圣女宝珠,副职业-附魔师-暗之英雄宝珠,副职业-附魔师-暴风之英雄宝珠,副职业-附魔师-格陵布拉德 宝珠（20.03魔盒）,副职业-附魔师-烈火之英雄宝珠,副职业-附魔师-狼族英雄宝珠,副职业-附魔师-白色魔力的产物,副职业-附魔师-白龙之魂宝珠,副职业-附魔师-米歇尔之魄 宝珠,副职业-附魔师-红色次元宝珠,副职业-附魔师-红色魔力的产物,副职业-附魔师-艾肯 宝珠（20.03魔盒）,副职业-附魔师-苍穹贵族号绿玉宝珠,副职业-附魔师-苍龙之魂宝珠,副职业-附魔师-蓝色次元宝珠,副职业-附魔师-蓝色魔力的产物,副职业-附魔师-赫尔德之魄 宝珠,副职业-附魔师-金龙之魂宝珠,副职业-附魔师-钢铁之英雄宝珠,副职业-附魔师-银龙之魂宝珠,副职业-附魔师-阿古朗达 宝珠（20.03魔盒）,副职业-附魔师-青龙之墨玉宝珠,副职业-附魔师-青龙之碧玉宝珠,副职业-附魔师-青龙之血玉宝珠,副职业-附魔师-青龙之魂宝珠,副职业-附魔师-黄龙之白玉宝珠,副职业-附魔师-黄龙之碧玉宝珠,副职业-附魔师-黄龙之血玉宝珠,副职业-附魔师-黑色魔力的产物
17.06.13,6239.0,35.0,1694.0,1352.0,141.0,1701778.0,241892.0,62753895.0,1353149.0,243716.0,4668297.0,1345100.0,1327598.0,59223808.0,7972669.0,268595.0,13916288.0,550278.0,744928.0,249948.0,,,,,,,,,,,,1463730.0,,4244707.0,533.0,,51021289.0,,4392751.0,2113720.0,1150534.0,107.0,22127348.0,,,1318193.0,995334.0,410874.0,1735804.0,10261096.0,,,90.0,1356604.0,1581641.0,8272145.0,,355130.0,,236116.0,,255518.0,,,11623496.0,9314282.0,11037192.0,11669009.0,11249968.0,10317096.0,9340764.0,1841376.0,20944178.0,,,1355407.0,546535.0,260133.0,1339726.0,1855650.0,1350374.0,1319347.0,256589.0,,,365457.0,957576.0,,39160425.0,62437157.0,1346207.0,,2568765.0,17711318.0,3550097.0,246879.0,46.0,,1331031.0,,462.0,,1320154.0,26148852.0,246427.0,,254490.0,,,,,,,2261.0,2339.0,482.0,1441.0,1939.0,,,,,,,,,,,,,,,842.0,,,,3239486.0,36670453.0,3579834.0,248424.0,22024086.0,758518.0,242522.0,,307479.0,2673471.0,252600.0,1329282.0,4921534.0,1555844.0,1350758.0,,6685981.0,3131541.0,1328066.0,253767.0,1348708.0,55552981.0,38222607.0,630611.0,,,1504307.0,588979.0,259047.0,,,,,,,,1707420.0,685393.0,1678101.0,,1400496.0,705633.0,1373993.0,,,,4378309.0,,240123.0,4271818.0,615522.0,9864143.0,,247943.0,249351.0,,42026062.0,3886906.0,,,417831.0,443797.0,72683139.0,,3933348.0,11973043.0,12179109.0,1327270.0,5937782.0,247581.0,1321061.0,245178.0,268897.0,246994.0,,,295347.0,267144.0,241126.0,
17.06.14,6472.0,34.0,1720.0,1349.0,139.0,1697245.0,238236.0,57611560.0,1365608.0,243552.0,4722899.0,1348210.0,1339604.0,58072373.0,8058579.0,264009.0,14132483.0,541726.0,738665.0,248488.0,,,,,,,,,,,,1430769.0,,4226959.0,530.0,,47759381.0,,4373747.0,2075697.0,1159082.0,106.0,22622262.0,,,1333167.0,1002304.0,403837.0,1746146.0,10389688.0,,,87.0,1365282.0,1596247.0,8940478.0,,353639.0,,236661.0,,248991.0,,,11682145.0,9319495.0,11220711.0,11709935.0,11389831.0,10383472.0,9322133.0,1834242.0,21164149.0,,,1351897.0,542547.0,265304.0,1322199.0,1910545.0,1332147.0,1326569.0,254498.0,,,364564.0,968162.0,,39944232.0,62634139.0,1348540.0,,2600475.0,17514848.0,3603656.0,244295.0,46.0,,1351499.0,,460.0,,1328915.0,26492541.0,245282.0,,248248.0,,,,,,,2281.0,2330.0,470.0,1455.0,1952.0,,,,,,,,,,,,,,,838.0,,,,3171069.0,37091224.0,3596222.0,246344.0,22928781.0,759864.0,243143.0,,305076.0,2655894.0,256209.0,1345546.0,4941669.0,1553957.0,1366910.0,,6707508.0,3167835.0,1336877.0,251299.0,1363848.0,56746549.0,37845854.0,617812.0,,,1560701.0,566793.0,258015.0,,,,,,,,1607914.0,679709.0,1769229.0,,1485512.0,705172.0,1388430.0,,,,3946644.0,,238875.0,4259774.0,615576.0,9864143.0,,242756.0,247263.0,,44445313.0,3949900.0,,,428768.0,449087.0,74392655.0,,3991703.0,12006164.0,12483434.0,1329442.0,5760527.0,244673.0,1325344.0,242821.0,261483.0,245916.0,,,279986.0,266194.0,243979.0,
17.06.15,6498.0,33.0,1725.0,1338.0,140.0,1676127.0,240359.0,60012503.0,1386039.0,243254.0,4742886.0,1319737.0,1324154.0,62740653.0,8240094.0,267263.0,13788087.0,535113.0,742688.0,245373.0,,,,,,,,,,,,1438705.0,,4155978.0,534.0,,49221739.0,,4354740.0,2058539.0,1333059.0,101.0,21268613.0,,,1326313.0,1017993.0,419807.0,1754197.0,10395642.0,,,86.0,1370922.0,1598365.0,8668150.0,,360756.0,,236906.0,,248986.0,,,11678649.0,9282348.0,11079078.0,11878406.0,11675830.0,10374855.0,9455332.0,1779649.0,21162164.0,,,1357483.0,538867.0,268104.0,1309587.0,1906030.0,1333527.0,1345884.0,261942.0,,,362905.0,964763.0,,40695419.0,62628786.0,1373245.0,,2607739.0,17467117.0,3603737.0,239871.0,46.0,,1354150.0,,459.0,,1360688.0,27642832.0,248445.0,,251546.0,,,,,,,2284.0,2295.0,500.0,1477.0,1932.0,,,,,,,,,,,,,,,837.0,,,,3103031.0,36484967.0,3542220.0,246587.0,22693591.0,751718.0,239819.0,,302834.0,2712785.0,251627.0,1338479.0,4889584.0,1555820.0,1369556.0,,6732532.0,3156293.0,1328997.0,248339.0,1346280.0,56379040.0,37643171.0,605146.0,,,1498683.0,561400.0,259621.0,,,,,,,,1666512.0,676793.0,1593170.0,,1397042.0,697115.0,1455980.0,,,,4427231.0,,238980.0,4252171.0,618096.0,9864143.0,,250206.0,244863.0,,46366107.0,3866824.0,,,414105.0,445186.0,74101664.0,,3942317.0,12020042.0,12837465.0,1324238.0,5601029.0,243759.0,1317098.0,241470.0,272246.0,245245.0,,,268175.0,256451.0,242002.0,
17.06.16,6508.0,33.0,1744.0,1323.0,140.0,1693770.0,242458.0,55952236.0,1341248.0,243549.0,4739310.0,1332297.0,1321890.0,64160290.0,8225314.0,266331.0,13829084.0,535071.0,744310.0,246267.0,,,,,,,,,,,,1445599.0,,4198446.0,532.0,,51284322.0,,4342159.0,2066388.0,1340343.0,101.0,21740863.0,,,1324903.0,1034347.0,417241.0,1755950.0,10510686.0,,,86.0,1358924.0,1659375.0,8675967.0,,363757.0,,239735.0,,251766.0,,,11782457.0,9260185.0,11022803.0,11901687.0,11784591.0,10315212.0,9450855.0,1756447.0,20616672.0,,,1367974.0,535157.0,267151.0,1325309.0,1906473.0,1338006.0,1335674.0,266774.0,,,364625.0,971157.0,,40677181.0,62591243.0,1369896.0,,2576621.0,17109513.0,3674532.0,241367.0,47.0,,1334084.0,,458.0,,1369548.0,27985082.0,248390.0,,247672.0,,,,,,,2278.0,2294.0,500.0,1491.0,1930.0,,,,,,,,,,,,,,,837.0,,,,3058039.0,36175333.0,3657667.0,248613.0,22887804.0,751744.0,246138.0,,299183.0,2678689.0,248804.0,1336394.0,4892100.0,1538442.0,1363269.0,,6653015.0,3168973.0,1315837.0,254513.0,1359305.0,56742216.0,37380654.0,607806.0,,,1504719.0,554396.0,261892.0,,,,,,,,1651959.0,676756.0,1570866.0,,1438507.0,706151.0,1392525.0,,,,4406687.0,,239983.0,4271175.0,631288.0,10034160.0,,245743.0,247804.0,,44236323.0,3809614.0,,,417155.0,432498.0,73171783.0,,3930313.0,12041445.0,12867911.0,1323795.0,5512117.0,242954.0,1319225.0,240818.0,265061.0,245530.0,,,262316.0,254973.0,245516.0,
17.06.17,6487.0,33.0,1760.0,1337.0,142.0,1671771.0,247337.0,45530026.0,1372003.0,247018.0,4689309.0,1355887.0,1313914.0,59999221.0,8058937.0,264123.0,13850284.0,546591.0,749305.0,246171.0,,,,,,,,,,,,1460667.0,,4269667.0,532.0,,50987051.0,,4404544.0,2038342.0,963395.0,101.0,21897808.0,,,1315265.0,1026673.0,430180.0,1763269.0,10614838.0,,,87.0,1358798.0,1679813.0,8515633.0,,367122.0,,242621.0,,259289.0,,,11564380.0,9291090.0,11000433.0,11860954.0,11471363.0,10178543.0,9330030.0,1746997.0,20296323.0,,,1355968.0,531383.0,271268.0,1321340.0,1915709.0,1350048.0,1323012.0,269242.0,,,369293.0,971198.0,,40116701.0,62756462.0,1356628.0,,2538119.0,16968401.0,3678383.0,244296.0,47.0,,1326382.0,,458.0,,1323628.0,28046683.0,250933.0,,251282.0,,,,,,,2262.0,2297.0,550.0,1523.0,1919.0,,,,,,,,,,,,,,,839.0,,,,3109803.0,35683122.0,3565433.0,252769.0,23019287.0,757278.0,246039.0,,296992.0,2710481.0,258572.0,1338917.0,4922483.0,1547209.0,1374378.0,,6528017.0,3178611.0,1317204.0,252773.0,1372288.0,57774187.0,36786847.0,606014.0,,,1537496.0,564137.0,269672.0,,,,,,,,1616239.0,678929.0,1652674.0,,1433256.0,704271.0,1333414.0,,,,4055734.0,,242466.0,4236184.0,644525.0,9855166.0,,254247.0,247630.0,,43509130.0,3849354.0,,,409384.0,439146.0,73332747.0,,3947529.0,12177077.0,12639565.0,1313045.0,5462618.0,250094.0,1327330.0,243003.0,268897.0,248110.0,,,264183.0,256831.0,247631.0,
17.06.18,6614.0,35.0,1783.0,1326.0,141.0,1667050.0,240420.0,62646744.0,1380164.0,247637.0,4733113.0,1320586.0,1303969.0,58479597.0,7968435.0,278498.0,13654634.0,554223.0,750183.0,245522.0,,,,,,,,,,,,1437297.0,,4256095.0,531.0,,49685648.0,,4413539.0,2030456.0,1225956.0,102.0,22585892.0,,,1310314.0,1016390.0,424833.0,1738591.0,10616445.0,,,89.0,1339494.0,1638789.0,8680350.0,,366079.0,,238574.0,,258241.0,,,11344655.0,9302451.0,11115726.0,11743042.0,11292017.0,10140132.0,9218851.0,1721686.0,20789275.0,,,1332948.0,526334.0,267763.0,1325867.0,1890341.0,1351332.0,1322118.0,268284.0,,,367141.0,957807.0,,39931587.0,62688739.0,1356459.0,,2501260.0,17038572.0,3683159.0,240807.0,47.0,,1317353.0,,458.0,,1330755.0,27598545.0,243377.0,,244444.0,,,,,,,2276.0,2305.0,512.0,1487.0,1940.0,,,,,,,,,,,,,,,842.0,,,,3066784.0,35721148.0,3640795.0,245770.0,23070138.0,750928.0,247837.0,,294626.0,2699704.0,259270.0,1331881.0,4922677.0,1534716.0,1361397.0,,6454659.0,3187544.0,1312508.0,247643.0,1378801.0,57955530.0,37979739.0,590675.0,,,1545107.0,561767.0,264676.0,,,,,,,,1589911.0,682895.0,1753290.0,,1507184.0,705555.0,1395435.0,,,,3908971.0,,241106.0,4242255.0,649436.0,9739854.0,,251576.0,251087.0,,41718047.0,3840978.0,,,412481.0,469842.0,74150400.0,,3915548.0,12135687.0,12484586.0,1311702.0,5425973.0,246790.0,1338853.0,242814.0,275328.0,251580.0,,,271228.0,258428.0,245077.0,
17.06.19,6613.0,35.0,1786.0,1344.0,143.0,1678037.0,239391.0,58903056.0,1389477.0,248097.0,4715043.0,1323659.0,1309630.0,60765874.0,7884969.0,265417.0,14015400.0,547722.0,748625.0,244466.0,,,,,,,,,,,,1419236.0,,4276993.0,527.0,,43917452.0,,4405820.0,2044339.0,1345092.0,102.0,23060058.0,,,1310415.0,1016229.0,422069.0,1714295.0,10624450.0,,,89.0,1348469.0,1646176.0,8445075.0,,357577.0,,238079.0,,252157.0,,,11508887.0,9278231.0,11265860.0,11737454.0,11440857.0,10185631.0,9222613.0,1743320.0,20464424.0,,,1316082.0,524401.0,266163.0,1316606.0,1877161.0,1352890.0,1319818.0,267178.0,,,370762.0,967207.0,,39575177.0,62647327.0,1348548.0,,2490503.0,17242689.0,3680595.0,241383.0,47.0,,1324317.0,,458.0,,1336387.0,27318976.0,245883.0,,243529.0,,,,,,,2270.0,2301.0,517.0,1485.0,1955.0,,,,,,,,,,,,,,,841.0,,,,3054006.0,36748815.0,3698723.0,243800.0,22985996.0,746157.0,246063.0,,294376.0,2690376.0,263750.0,1342242.0,4906478.0,1528722.0,1345820.0,,6427310.0,3170390.0,1310905.0,248984.0,1374118.0,57175704.0,37708318.0,590235.0,,,1514540.0,554628.0,262111.0,,,,,,,,1616371.0,684751.0,1569194.0,,1485763.0,695910.0,1371394.0,,,,4158160.0,,239200.0,4226878.0,647748.0,9751115.0,,250443.0,245537.0,,37510235.0,3863407.0,,,407922.0,456672.0,74925150.0,,3945943.0,12199280.0,12402788.0,1312448.0,5449456.0,246978.0,1331035.0,242581.0,274529.0,247688.0,,,268821.0,258771.0,242628.0,
17.06.20,6649.0,37.0,1784.0,1368.0,143.0,1667459.0,241990.0,60556427.0,1364082.0,244871.0,4732610.0,1312794.0,1302724.0,59556557.0,7758390.0,261762.0,14341684.0,543495.0,746479.0,244242.0,,,,,,,,,,,,1417653.0,,4294956.0,523.0,,42859378.0,,4396766.0,2015387.0,1157977.0,101.0,22472371.0,,,1312569.0,1001540.0,429834.0,1708619.0,10358371.0,,,91.0,1350245.0,1631183.0,8585876.0,,354358.0,,237444.0,,256146.0,,,11462858.0,9291753.0,11207720.0,11710720.0,11528813.0,10331429.0,9246509.0,1770589.0,21348198.0,,,1327294.0,521359.0,261245.0,1322457.0,1856397.0,1360244.0,1316724.0,260673.0,,,366901.0,964448.0,,39616075.0,62874600.0,1337431.0,,2489828.0,17429898.0,3708338.0,241921.0,47.0,,1322841.0,,457.0,,1327964.0,27201887.0,244491.0,,243878.0,,,,,,,2261.0,2288.0,532.0,1487.0,1965.0,,,,,,,,,,,,,,,843.0,,,,3075131.0,36004366.0,3717905.0,243701.0,22902668.0,751540.0,245234.0,,291989.0,2674600.0,263977.0,1338835.0,4962646.0,1546096.0,1348856.0,,6405346.0,3160730.0,1313729.0,249837.0,1355495.0,58985948.0,37447370.0,579758.0,,,1511175.0,546435.0,260220.0,,,,,,,,1594138.0,685449.0,1693090.0,,1482490.0,698233.0,1469543.0,,,,4439561.0,,239961.0,4206233.0,654272.0,9683924.0,,251619.0,244165.0,,39505875.0,3771917.0,,,421937.0,463262.0,74331944.0,,3919225.0,12234844.0,12373859.0,1314668.0,5342979.0,239610.0,1329075.0,246241.0,268868.0,247918.0,,,272575.0,261464.0,243083.0,
17.06.21,6678.0,38.0,1802.0,1369.0,147.0,1678507.0,239911.0,61636735.0,1366501.0,246088.0,4767339.0,1313682.0,1295495.0,59381113.0,7732432.0,260402.0,13713571.0,535200.0,749125.0,244682.0,,,,,,,,,,,,1399240.0,,4292947.0,520.0,,42322178.0,,4384731.0,1968065.0,1225583.0,102.0,23441693.0,,,1319959.0,981056.0,422734.0,1695705.0,10223619.0,,,93.0,1358372.0,1606447.0,8632897.0,,352859.0,,235659.0,,252231.0,,,11491255.0,9274987.0,11143643.0,11672445.0,11361603.0,10262911.0,9212808.0,1781084.0,21214827.0,,,1320758.0,514850.0,254384.0,1333318.0,1867366.0,1338799.0,1315574.0,259793.0,,,364507.0,955641.0,,39521064.0,62949144.0,1340382.0,,2494460.0,17413693.0,3626075.0,239824.0,48.0,,1307374.0,,456.0,,1319380.0,27166969.0,243255.0,,244593.0,,,,,,,2267.0,2289.0,520.0,1486.0,1987.0,,,,,,,,,,,,,,,846.0,,,,3092877.0,35802552.0,3704578.0,239032.0,22700908.0,740376.0,240168.0,,290886.0,2659437.0,261868.0,1350976.0,4870212.0,1525487.0,1357418.0,,6403735.0,3173733.0,1314295.0,252071.0,1341361.0,59563113.0,37247458.0,569012.0,,,1517017.0,539389.0,256699.0,,,,,,,,1679906.0,687126.0,1704248.0,,1444251.0,704829.0,1354474.0,,,,4516283.0,,237339.0,4171890.0,652676.0,9767366.0,,250715.0,241364.0,,43432958.0,3658448.0,,,426599.0,455005.0,75441872.0,,3903804.0,12208605.0,12401080.0,1302037.0,5304246.0,243373.0,1323048.0,242304.0,271228.0,245532.0,,,274131.0,252910.0,242940.0,
17.06.22,6517.0,37.0,1805.0,1336.0,147.0,1695931.0,243371.0,66092170.0,1342991.0,245079.0,4764186.0,1316489.0,1309776.0,59276883.0,7748329.0,268697.0,13887666.0,528432.0,755723.0,247584.0,,,,,,,,,,,,1439649.0,,4252901.0,529.0,,46243830.0,,4354868.0,1966225.0,889637.0,102.0,23583821.0,,,1334117.0,980110.0,414518.0,1707724.0,10134405.0,,,96.0,1367519.0,1658095.0,8496914.0,,339105.0,,235998.0,,255901.0,,,11613498.0,9253164.0,11069748.0,11520754.0,11230093.0,10232913.0,9177903.0,1804125.0,20479683.0,,,1328835.0,513028.0,258161.0,1321595.0,1863026.0,1350040.0,1327173.0,255777.0,,,361148.0,946094.0,,39403459.0,63622712.0,1348300.0,,2527657.0,17432963.0,3565170.0,241233.0,47.0,,1316081.0,,455.0,,1310578.0,27325765.0,243224.0,,243052.0,,,,,,,2257.0,2284.0,532.0,1489.0,1979.0,,,,,,,,,,,,,,,848.0,,,,3043193.0,36120586.0,3741244.0,240316.0,23305142.0,740388.0,241290.0,,288203.0,2646504.0,257692.0,1363764.0,4865308.0,1520506.0,1367629.0,,6453859.0,3171167.0,1317652.0,248253.0,1370077.0,59191610.0,38287495.0,568961.0,,,1518592.0,527822.0,255078.0,,,,,,,,1642124.0,690059.0,1687641.0,,1461114.0,702224.0,1354413.0,,,,4050799.0,,239584.0,4155499.0,637986.0,9970675.0,,256638.0,242001.0,,44710517.0,3797061.0,,,413887.0,439208.0,75196261.0,,3968053.0,12293903.0,12617316.0,1324037.0,5307248.0,244798.0,1316774.0,241002.0,270548.0,242678.0,,,274256.0,251583.0,241614.0,
