x,特殊装备-耳环-军神的古怪耳环,特殊装备-耳环-命运挑战者,特殊装备-耳环-圣物:荣耀的恶魔贵族耳环,特殊装备-耳环-宽容之海,特殊装备-耳环-悲剧人生的归寂,特殊装备-耳环-无尽地狱黑暗之印,特殊装备-耳环-无我灵晶,特殊装备-耳环-时之矛盾,特殊装备-耳环-次元流星坠,特殊装备-耳环-电磁能量传送者,特殊装备-耳环-窥视未来耳环,特殊装备-耳环-腐蚀之黑色十字耳环,特殊装备-耳环-铁腕之力耳坠,特殊装备-辅助装备通用-万疫之源 - 恶魔之舌,特殊装备-辅助装备通用-全元素水晶,特殊装备-辅助装备通用-公爵尤里斯的骨骸,特殊装备-辅助装备通用-军神的遗书,特殊装备-辅助装备通用-冰雪凝香石,特殊装备-辅助装备通用-卡勒特的神投者手套,特殊装备-辅助装备通用-咕噜的玩具,特殊装备-辅助装备通用-哈迪的阴影面罩,特殊装备-辅助装备通用-圣物:荣耀的恶魔贵族臂章,特殊装备-辅助装备通用-失控之怒,特殊装备-辅助装备通用-奸邪之鼠的断尾,特殊装备-辅助装备通用-尸疫之祸,特殊装备-辅助装备通用-巨灵布鲁的封印之铃,特殊装备-辅助装备通用-幽游白书:剑魂,特殊装备-辅助装备通用-幽游白书:圣魂,特殊装备-辅助装备通用-幽游白书:斗魂,特殊装备-辅助装备通用-幽游白书:月魂,特殊装备-辅助装备通用-引路者的旅行书,特殊装备-辅助装备通用-悲情者遗物,特殊装备-辅助装备通用-感染者臂章,特殊装备-辅助装备通用-战术之王的战术指挥棒,特殊装备-辅助装备通用-支配者王冠,特殊装备-辅助装备通用-暗黑术士亲笔古书,特殊装备-辅助装备通用-暴戾搜捕团的祭司面罩,特殊装备-辅助装备通用-暴戾搜捕团的预言之书,特殊装备-辅助装备通用-最佳球手之球,特殊装备-辅助装备通用-末日之刻,特殊装备-辅助装备通用-梦幻列车长的怀表,特殊装备-辅助装备通用-民兵队长的职权臂章,特殊装备-辅助装备通用-浓雾之息,特殊装备-辅助装备通用-煞影之痕,特殊装备-辅助装备通用-牛头械王的能量装置,特殊装备-辅助装备通用-牛头械王的超能心脏,特殊装备-辅助装备通用-牛头械王的超能芯片,特殊装备-辅助装备通用-牛头统帅的图腾柱,特殊装备-辅助装备通用-疯狂伊凡的火药桶,特殊装备-辅助装备通用-疯狂伊凡的灵魂面具,特殊装备-辅助装备通用-盗墓王的铁锄,特殊装备-辅助装备通用-盗墓笔记 - 寻龙诀,特殊装备-辅助装备通用-禁断契约书,特殊装备-辅助装备通用-突击队长的强袭装置,特殊装备-辅助装备通用-突击队长的战斗护盾,特殊装备-辅助装备通用-突击队长的护心仪,特殊装备-辅助装备通用-聚魔漩涡,特殊装备-辅助装备通用-能量回流控制者,特殊装备-辅助装备通用-腐蚀之黑色面具,特殊装备-辅助装备通用-过往时光的轮回,特殊装备-辅助装备通用-锤王波罗丁的权杖,特殊装备-辅助装备通用-青面修罗的面具,特殊装备-辅助装备通用-高贵之天,特殊装备-辅助装备通用-魔剑阿波菲斯的剑鞘,特殊装备-魔法石通用-一粒尘埃,特殊装备-魔法石通用-万疫之源 - 污秽之心,特殊装备-魔法石通用-使徒狄瑞吉的冥玄石,特殊装备-魔法石通用-军神的庇护宝石,特殊装备-魔法石通用-冰雪公主结晶,特殊装备-魔法石通用-哈尼克之心,特殊装备-魔法石通用-哈尼克的血凝石,特殊装备-魔法石通用-圣物:荣耀的恶魔贵族魔法石,特殊装备-魔法石通用-寂寞的呼喊,特殊装备-魔法石通用-巨灵封印之瞳,特殊装备-魔法石通用-戮蛊的记忆之眼,特殊装备-魔法石通用-扭曲的异界魔石,特殊装备-魔法石通用-日落狂沙之石,特殊装备-魔法石通用-时之漩涡,特殊装备-魔法石通用-明与暗,特殊装备-魔法石通用-智慧之地,特殊装备-魔法石通用-暗精灵的融合心脏,特殊装备-魔法石通用-暗黑术士的精髓,特殊装备-魔法石通用-暴戾搜捕团的守护之心,特殊装备-魔法石通用-江山如故,特殊装备-魔法石通用-灵魂掠夺者,特殊装备-魔法石通用-狂乱之天灾降临,特殊装备-魔法石通用-狄瑞吉的邪念之瞳,特殊装备-魔法石通用-王者耀世之威,特殊装备-魔法石通用-电光能量支配者,特殊装备-魔法石通用-疯狂伊凡的超级炸药,特殊装备-魔法石通用-瘟疫之核,特殊装备-魔法石通用-突击队长的核心晶石,特殊装备-魔法石通用-聚灵之核,特殊装备-魔法石通用-腐蚀之黑色尖角,特殊装备-魔法石通用-被困的时之沙,特殊装备-魔法石通用-被诅咒的冰魄魂石,特殊装备-魔法石通用-贪欲之瞳,特殊装备-魔法石通用-赤鬼的次元石,特殊装备-魔法石通用-阿波菲斯之眼,特殊装备-魔法石通用-驱逐伪装者之圣戮石,特殊装备-魔法石通用-骷髅凯恩的血凝石
17.06.13,,,,,,,,,,,,,34820458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4452436.0,8335724.0,12961370.0,4574127.0,4564419.0,4925477.0,3807118.0,4687725.0,4170597.0,5504922.0,7537016.0,,8032649.0,4258773.0,,10605456.0,21564546.0,3931375.0,3580323.0,4226325.0,4442992.0,4352364.0,3912267.0,4252101.0,6521221.0,4213584.0,5335162.0,4629747.0,6228751.0,4363982.0,17118591.0,4782598.0,18387471.0,5956923.0,4321615.0,21268770.0,3752021.0,5602654.0,5022136.0,,6815845.0,4157687.0,14109895.0,4270433.0,4553576.0,8162290.0,4361977.0,7468027.0,4442779.0,4714559.0,7198514.0,4874867.0,4175674.0,4229474.0,4152807.0,4107827.0,9212573.0,4257110.0
17.06.14,,,,,,,,,,,,,34473227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4518043.0,8202752.0,12213041.0,4559375.0,4495490.0,5259273.0,3935529.0,4746908.0,4333360.0,5648717.0,7589858.0,,8108337.0,4275542.0,,10746610.0,21697114.0,4206617.0,3697923.0,4243602.0,4427955.0,4429723.0,4051668.0,4480509.0,6558751.0,4246635.0,5402480.0,4606777.0,6074880.0,4550872.0,16935634.0,4673876.0,18129971.0,6028868.0,4325538.0,20787930.0,3908448.0,5549571.0,4816922.0,,6697097.0,4430256.0,13901638.0,4306565.0,4651596.0,8440940.0,4700870.0,7516188.0,4423164.0,4672346.0,7203397.0,4903521.0,4363265.0,4428422.0,4089588.0,4232782.0,9334104.0,4452038.0
17.06.15,,,,,,,,,,,,,34437111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4849401.0,8436319.0,12563029.0,4653046.0,4676448.0,5436884.0,4177461.0,4950944.0,4419266.0,5856033.0,7594350.0,,8304551.0,4478651.0,,11031541.0,21706639.0,4360693.0,3755698.0,4388425.0,4689392.0,4822937.0,4131584.0,4822362.0,6591880.0,4532288.0,5552938.0,4782210.0,6351531.0,4680189.0,16808482.0,5021870.0,18554522.0,6211262.0,4613851.0,21130178.0,4061584.0,5629622.0,4846898.0,,6888676.0,4542464.0,13956064.0,4498228.0,4972812.0,7994122.0,4676901.0,7523637.0,4894573.0,5050967.0,6940635.0,5010094.0,4643459.0,4538216.0,4505734.0,4318896.0,8645671.0,4758155.0
17.06.16,,,,,,,,,,,,,34522989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4853759.0,8426568.0,13009902.0,4975959.0,4600429.0,5525926.0,4238505.0,5123364.0,4409079.0,5930782.0,7289219.0,,8386893.0,4517375.0,,11663586.0,21737018.0,4646412.0,3732303.0,4628893.0,4588006.0,5037325.0,4334126.0,4903849.0,6573195.0,4633850.0,5538995.0,4900086.0,6306133.0,4657317.0,16617712.0,5037360.0,18324478.0,6182811.0,4717606.0,20937744.0,4016402.0,5517560.0,5060157.0,,6785371.0,4683039.0,13671202.0,4684260.0,5243433.0,7791285.0,4589502.0,7840318.0,4752997.0,4879334.0,7257371.0,5003116.0,4812668.0,4700090.0,4671789.0,4393459.0,8637515.0,4819638.0
17.06.17,,,,,,,,,,,,,34890272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4624711.0,8462095.0,13228164.0,5067235.0,4897040.0,5516776.0,4130106.0,5121817.0,4558093.0,5944455.0,7418870.0,,8670907.0,4677090.0,,11557864.0,22056875.0,4682449.0,3662997.0,4766947.0,4920938.0,5020687.0,4342060.0,4924678.0,6754960.0,4619389.0,5585155.0,5154186.0,6545599.0,4687058.0,15988931.0,4956120.0,18256204.0,6010873.0,4633949.0,20942718.0,3879469.0,5293825.0,4847189.0,,7111084.0,4838138.0,13849961.0,4696937.0,5314702.0,7238384.0,4750632.0,7527618.0,4729927.0,4923264.0,7709493.0,5068333.0,4773250.0,4692174.0,4695211.0,4524131.0,8595535.0,4832249.0
17.06.18,,,,,,,,,,,,,34695114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4471850.0,8136288.0,14113353.0,5050064.0,5013388.0,5239153.0,3975475.0,5055552.0,4471946.0,5765354.0,7161635.0,,8471675.0,4483795.0,,11186018.0,22310675.0,4438652.0,3618286.0,4403882.0,4758349.0,4803855.0,4351223.0,4900803.0,6499465.0,4546943.0,5788132.0,4946791.0,6804771.0,4603939.0,16238213.0,4917774.0,18340041.0,6216060.0,4530063.0,21071101.0,3833716.0,5240451.0,4919330.0,,6522496.0,4884990.0,13835154.0,4641246.0,5385071.0,7044442.0,4377323.0,7550805.0,4747510.0,4702547.0,7535476.0,5218974.0,4471824.0,4905687.0,4875846.0,4514033.0,8898083.0,4765620.0
17.06.19,,,,,,,,,,,,,35336855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4417934.0,8040063.0,14409010.0,4935941.0,4900129.0,5370877.0,4042633.0,5182879.0,4630252.0,5901736.0,7509624.0,,8329859.0,4477035.0,,11315316.0,22386485.0,4282907.0,3595908.0,4323605.0,4789192.0,4899743.0,4105656.0,5008872.0,6643041.0,4337445.0,5535236.0,4939469.0,6085994.0,4618941.0,16905333.0,4789129.0,18479081.0,6278447.0,4457367.0,21300425.0,3800712.0,5367749.0,4873747.0,,6594228.0,4713955.0,13716677.0,4534498.0,5121304.0,6974519.0,4251679.0,8417828.0,4775169.0,4923106.0,7308711.0,4911735.0,4502291.0,4617121.0,4728567.0,4585059.0,9254137.0,4552222.0
17.06.20,,,,,,,,,,,,,35601518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4612231.0,7940610.0,14421939.0,5109774.0,4685355.0,5342544.0,3923791.0,5061703.0,4461237.0,6114739.0,7584952.0,,8335592.0,4618595.0,,11143109.0,22092161.0,4249541.0,3611009.0,4487029.0,4735935.0,4573604.0,4089820.0,4723452.0,6711678.0,4096310.0,5600198.0,4688841.0,6650511.0,4500453.0,16503596.0,4593393.0,18266364.0,6414656.0,4891335.0,21016848.0,3810977.0,5473117.0,5014795.0,,6461879.0,4722373.0,14409971.0,4470271.0,5017125.0,7242492.0,4264013.0,8271503.0,4569619.0,4755607.0,7668988.0,4745268.0,4435086.0,4561730.0,4506523.0,4259719.0,9282511.0,4430472.0
17.06.21,,,,,,,,,,,,,35649404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4469191.0,7521819.0,13951575.0,4928940.0,4640197.0,5121561.0,3889203.0,4897515.0,4458316.0,6090280.0,7620005.0,,8101325.0,4410187.0,,11252493.0,22126275.0,4302378.0,3633418.0,4491644.0,4644028.0,4421332.0,4126729.0,4790237.0,6621603.0,4165248.0,5572253.0,4634947.0,6644274.0,4368035.0,16549343.0,4491035.0,17840692.0,6124264.0,4637350.0,21099404.0,3837614.0,5736389.0,4859024.0,,6330023.0,4946946.0,14216716.0,4499450.0,5231456.0,6780334.0,4451313.0,8264443.0,4421765.0,4787831.0,7533863.0,4915677.0,4325133.0,4578995.0,4220784.0,4250819.0,9218788.0,4292650.0
17.06.22,,,,,,,,,,,,,36203409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4264973.0,7822404.0,13807312.0,4709283.0,4883634.0,5413783.0,3958180.0,4927981.0,4458985.0,6165242.0,7491168.0,,8092136.0,4371780.0,,11137607.0,22067346.0,4323780.0,3733084.0,4388083.0,4433741.0,4636106.0,4178653.0,4836363.0,6534344.0,4384795.0,5473235.0,4658732.0,6100569.0,4364839.0,16031540.0,4573860.0,17699012.0,6292034.0,4617232.0,21222688.0,3927861.0,5519336.0,4804319.0,,6493720.0,4822198.0,13942737.0,4501691.0,5240982.0,7365793.0,4602533.0,8192486.0,4688966.0,4739989.0,7845703.0,4837242.0,4346254.0,4651623.0,4229335.0,4479469.0,8737455.0,4335360.0
17.06.23,,,,,,,,,,,,,36475976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4424655.0,7599917.0,12733982.0,4815239.0,4984516.0,5477762.0,4063381.0,4994442.0,4560684.0,5945130.0,7384593.0,,7935891.0,4690204.0,,11258522.0,22056089.0,4419949.0,3800333.0,4354272.0,4507673.0,4753374.0,4270013.0,5001811.0,6361397.0,4486325.0,5138270.0,4690565.0,6500543.0,4582233.0,15752372.0,4584730.0,17513779.0,5932050.0,4725930.0,21269015.0,4034909.0,5845405.0,5036695.0,,6798799.0,4881736.0,13715204.0,4497186.0,5310817.0,7358658.0,4494348.0,7730659.0,4797414.0,5029110.0,7544582.0,4955389.0,4699290.0,4420122.0,4351721.0,4618803.0,8853870.0,4641758.0
17.06.24,,,,,,,,,,,,,36621267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4533059.0,7466406.0,12218344.0,4830402.0,5318354.0,5092015.0,4307987.0,4869188.0,4464019.0,5902664.0,7257140.0,,8295683.0,4661621.0,,10966335.0,22718823.0,4269298.0,3805458.0,4577862.0,4672023.0,4639892.0,4438681.0,5052800.0,6327574.0,4744163.0,5602541.0,4822417.0,5861428.0,4730899.0,15828419.0,4550154.0,17520189.0,5892938.0,4708913.0,21318893.0,4094783.0,5643295.0,5018410.0,,7027197.0,5099680.0,13792883.0,4613430.0,5156377.0,7721775.0,4590917.0,7617267.0,4564306.0,4846880.0,7378990.0,5290976.0,4487837.0,4622219.0,4376505.0,4560435.0,9203762.0,4832952.0
17.06.25,,,,,,,,,,,,,36706478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400635.0,7726887.0,11857815.0,5020488.0,4895006.0,5097826.0,4227612.0,4828222.0,4427629.0,5932138.0,7284067.0,,8097055.0,4651896.0,,10458795.0,22659818.0,4247396.0,3815395.0,4534586.0,4644009.0,4572739.0,4283022.0,5216935.0,6633653.0,4413256.0,5723049.0,4786558.0,5786114.0,4689999.0,15961453.0,4579262.0,17743668.0,5716906.0,4780601.0,21561552.0,4119493.0,6069581.0,5326733.0,,7505782.0,5038408.0,14252393.0,4681634.0,5214618.0,7882091.0,4738993.0,7783063.0,4628681.0,4952887.0,7305614.0,4943641.0,4693787.0,4638864.0,4452346.0,4568559.0,9681990.0,4968542.0
17.06.26,,,,,,,,,,,,,36939506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4606914.0,7602165.0,12342259.0,5257663.0,4713194.0,4903420.0,4236111.0,4526951.0,4310795.0,5848132.0,7593725.0,,8139076.0,4677162.0,,11276751.0,22897185.0,4315075.0,3918283.0,4644126.0,4452689.0,4597481.0,4132560.0,4873754.0,6390109.0,4659146.0,5485237.0,5135255.0,6036964.0,4607613.0,15843313.0,4451244.0,17640129.0,5529222.0,4795091.0,21430715.0,4195706.0,5703529.0,4975228.0,,7698443.0,4817991.0,13882558.0,4779396.0,4881507.0,7448356.0,4845598.0,7902272.0,4878557.0,4889124.0,7601702.0,4953536.0,4467503.0,4611921.0,4302086.0,4514868.0,9630278.0,4738133.0
17.06.27,,,,,,,,,,,,,36867028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4860043.0,8260360.0,11263461.0,5321039.0,4789886.0,5068707.0,4297944.0,4690093.0,4449784.0,5780067.0,7530348.0,,7938668.0,4949242.0,,10662676.0,23107232.0,4502112.0,4057307.0,4755391.0,4704653.0,4529428.0,4210952.0,4897444.0,6143377.0,4894001.0,5802485.0,5053116.0,6247531.0,4576853.0,14482228.0,4574985.0,16726271.0,5835631.0,4884339.0,21339230.0,4405078.0,6373337.0,5035044.0,,7471471.0,4991691.0,13720586.0,4794299.0,4676331.0,7663441.0,4936691.0,8484287.0,4867373.0,4900883.0,7682604.0,4907587.0,4605312.0,4860520.0,4418314.0,4364723.0,9431750.0,5096498.0
17.06.28,,,,,,,,,,,,,36950581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5184752.0,8217242.0,11619449.0,5510754.0,4799343.0,5133885.0,4325473.0,4620359.0,4595663.0,5929082.0,7467632.0,,7883734.0,4978950.0,,10914820.0,23252545.0,4577935.0,4197208.0,4966613.0,4780551.0,4788052.0,4243996.0,5060003.0,6142264.0,4794971.0,5640772.0,5135079.0,6131143.0,4692572.0,14632873.0,4690771.0,16758533.0,5849136.0,5076545.0,21432030.0,4670737.0,5836206.0,5148140.0,,7767095.0,5065801.0,14110471.0,4962057.0,4961484.0,8031145.0,5018004.0,8128728.0,5059208.0,5113020.0,7728633.0,5122305.0,4651489.0,4910657.0,4421258.0,4356647.0,9276713.0,4938771.0
17.06.29,,,,,,,,,,,,,36987373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4878054.0,8359150.0,11497732.0,5619190.0,5018803.0,5164822.0,4524872.0,5178467.0,4854200.0,5971614.0,7537008.0,,7955781.0,5031595.0,,10824369.0,23980088.0,4673433.0,4421357.0,4918020.0,4984702.0,4841496.0,4596062.0,4960603.0,6477213.0,5111321.0,5968891.0,5263603.0,5957008.0,4870930.0,14621746.0,4938493.0,16552517.0,5624619.0,5380798.0,21818388.0,5045637.0,6604897.0,5220766.0,,7770871.0,5317424.0,15007446.0,5139324.0,5158320.0,7275137.0,5340066.0,7813558.0,5200260.0,5375942.0,7951762.0,4972312.0,4848268.0,5123070.0,4728777.0,4488004.0,8793343.0,5241945.0
17.06.30,,,,,,,,,,,,,37304837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4968716.0,8552283.0,11272709.0,5932437.0,5209717.0,5358617.0,4874658.0,5433405.0,5005065.0,5955657.0,7357036.0,,7986359.0,5106534.0,,10560024.0,25378905.0,4981087.0,4623164.0,5097387.0,4852794.0,5010948.0,4768440.0,4946403.0,6546980.0,5614034.0,5765904.0,5641508.0,6099146.0,5139311.0,13037604.0,5251505.0,15684934.0,5754888.0,5212527.0,22207293.0,5608813.0,6279453.0,5584464.0,,7541054.0,5688371.0,16685635.0,5252348.0,5226195.0,6973448.0,5338189.0,8087011.0,5625813.0,5143751.0,7276519.0,5342728.0,5219781.0,5290586.0,4909726.0,4984645.0,8282397.0,4985216.0
17.07.01,,,,,,,,,,,,,39344547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5316142.0,8045108.0,10910667.0,6629961.0,5696059.0,5522319.0,4973129.0,5690794.0,5299514.0,6455569.0,7748778.0,,8333066.0,5070283.0,,11274967.0,27085369.0,4968186.0,4809954.0,5342828.0,4992154.0,5319425.0,5046223.0,5332126.0,6743801.0,5614534.0,6236629.0,5917387.0,6345517.0,5282015.0,13934226.0,5435852.0,15793410.0,5635080.0,5692592.0,23227991.0,6131813.0,6968091.0,5765686.0,,7788901.0,6020823.0,17150531.0,5411118.0,5478392.0,7068773.0,5421684.0,8676752.0,5629528.0,5430545.0,7487107.0,5704360.0,5341575.0,5462808.0,5063735.0,5205421.0,8182143.0,5523215.0
17.07.02,,,,,,,,,,,,,38569987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5090378.0,8245266.0,11128812.0,6764322.0,5559659.0,5738776.0,4927414.0,5670820.0,5021614.0,6842646.0,7472399.0,,8552057.0,5098519.0,,11529398.0,28182214.0,5276352.0,4884950.0,5387281.0,5512056.0,5656701.0,5233797.0,5391061.0,6744699.0,5386430.0,5942671.0,5883074.0,6200235.0,5433834.0,13800551.0,5367500.0,16116271.0,5755993.0,5450458.0,24118862.0,6183724.0,6804269.0,5534032.0,,8079496.0,5916044.0,18307533.0,5405974.0,5527763.0,7248227.0,5949761.0,8978545.0,5959321.0,5295111.0,7766504.0,5732175.0,5366860.0,5665463.0,4979730.0,5363630.0,8140290.0,5774672.0
17.07.03,,,,,,,,,,,,,40432059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5384783.0,7641379.0,10367091.0,7256145.0,5951877.0,6133293.0,5309049.0,6021190.0,5518962.0,7433755.0,8747658.0,,9263774.0,5743156.0,,12671119.0,30199314.0,5633879.0,5282713.0,5676327.0,5690171.0,5707939.0,5547772.0,5905703.0,7156170.0,5822867.0,6319232.0,6249734.0,6574281.0,6006635.0,14601290.0,5566181.0,16601970.0,6490235.0,5778150.0,25564386.0,6681983.0,7411668.0,6120437.0,,8108459.0,6288531.0,19401922.0,5710437.0,5759934.0,7593502.0,6194149.0,9424449.0,6043070.0,5970954.0,8331366.0,6181364.0,5722343.0,5698202.0,5529378.0,5670684.0,8418239.0,5997023.0
17.07.04,,,,,,,,,,,,,41370159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5748781.0,7479637.0,10309276.0,7579927.0,6212420.0,6091010.0,5631777.0,6084545.0,5976064.0,7779423.0,9293933.0,,9395415.0,5846552.0,,13397046.0,30454193.0,5823059.0,5544465.0,6008307.0,6172763.0,5995040.0,5821267.0,6001575.0,7045945.0,6183022.0,6683203.0,6216825.0,6463454.0,6141707.0,14813845.0,5932196.0,17207733.0,6646968.0,6095896.0,26379351.0,6792228.0,7017441.0,6396724.0,,7909544.0,6357286.0,20329269.0,5886083.0,5976543.0,7263041.0,6274017.0,9497865.0,6338574.0,6199950.0,9237167.0,6381615.0,5786492.0,6335472.0,5736432.0,5939144.0,8546706.0,5969612.0
