x,平均价-首饰-Lv80以下传说首饰（平）,平均价-首饰-Lv85传说首饰（平）,平均价-防具-Lv100堕落的遗影（平）,平均价-防具-Lv100传说防具（平）,平均价-防具-Lv85安徒恩传说防具（平）,平均价-防具-Lv90传说防具（平）,平均价-防具-Lv85远古/魂远古传说防具（平）,平均价-武器-Lv100史诗武器（平）,平均价-武器-Lv90魔枪士传说（平）,平均价-武器-Lv90暗夜使者传说（平）,平均价-武器-Lv85远古/魂远古传说武器（平）,平均价-武器-Lv85安徒恩传说武器（平）,平均价-武器-Lv90传说武器（平）,平均价-武器-Lv90枪手传说（平）,平均价-武器-Lv90圣职者传说（平）,平均价-武器-Lv90魔法师传说（平）,平均价-武器-Lv90格斗家传说（平）,平均价-武器-Lv90鬼剑士传说（平）,平均价-武器-Lv85释魂武器（平）,平均价-材料及消耗品-有色小晶块（平）,平均价-特殊装备-Lv85传说辅助（平）,平均价-特殊装备-Lv85传说魔法石（平）,平均价-附魔卡片及宝珠-神器卡片（平）,平均价-附魔卡片及宝珠-稀有卡片（平）,平均价-附魔卡片及宝珠-使徒宝珠（平）,平均价-材料及消耗品-+12 几率装备强化券 (30天)（平）,平均价-材料及消耗品-+12 几率装备增幅券 (30天)（平）,平均价-材料及消耗品-+7 几率装备增幅券 (30天)（平）,平均价-材料及消耗品-+11 几率装备增幅券 (30天)（平）
17.06.13,7052462.0,6081899.0,,,1907250.0,14004547.0,4209021.0,,13867350.0,13102449.0,3826713.0,1920403.0,15863521.0,16898062.0,15111576.0,14509461.0,14531093.0,21274740.0,11040561.0,89.0,6422702.0,5385306.0,13797337.0,574931.0,47938490.0,103131943.0,215562702.0,4730370.0,78615899.0
17.06.14,7042368.0,6137925.0,,,1939437.0,14002102.0,4229855.0,,13902431.0,13330416.0,3821617.0,1951933.0,15971837.0,17151516.0,15146140.0,14576718.0,14605763.0,21319950.0,10972778.0,88.0,6463233.0,5424016.0,13598181.0,568672.0,47642473.0,102683628.0,218424427.0,4837178.0,79236515.0
17.06.15,6974079.0,6175801.0,,,1963696.0,13985611.0,4305184.0,,13884498.0,13425524.0,3888184.0,1984344.0,15859924.0,16885850.0,15143633.0,14414066.0,14613030.0,20980735.0,10779645.0,88.0,6590647.0,5623653.0,13506491.0,569421.0,47460532.0,105180577.0,220608377.0,4894114.0,78642892.0
17.06.16,6870564.0,6229429.0,,,1952033.0,13920638.0,4357840.0,,13557622.0,13341855.0,3905151.0,1967370.0,15661085.0,16687998.0,15067498.0,14025622.0,14399717.0,20821363.0,10800111.0,88.0,6610173.0,5742703.0,13387314.0,569918.0,46872133.0,104854515.0,223489529.0,5268303.0,80978553.0
17.06.17,6857432.0,6256517.0,,,1922666.0,13909595.0,4340873.0,,13609160.0,13138228.0,3933431.0,1941475.0,15623361.0,16695481.0,14907722.0,14081646.0,14206062.0,21019678.0,10619478.0,88.0,6608130.0,5800939.0,13264152.0,565716.0,47649487.0,103548354.0,225027403.0,6107653.0,82836943.0
17.06.18,6729633.0,6237719.0,,,1905772.0,13907127.0,4284008.0,,13681199.0,13032710.0,3916569.0,1923985.0,15703380.0,16888052.0,14841719.0,14078964.0,14419317.0,21234256.0,10619985.0,88.0,6571419.0,5708952.0,13448775.0,563954.0,47088577.0,104282229.0,227149908.0,6315297.0,83868866.0
17.06.19,6734183.0,6269419.0,,,1899451.0,13974213.0,4264757.0,,13771602.0,13220642.0,3918913.0,1914229.0,15786899.0,17016272.0,14933676.0,14115746.0,14487791.0,21240135.0,10864460.0,88.0,6550612.0,5735431.0,13420541.0,560954.0,48163036.0,103201358.0,225841137.0,6339570.0,84924916.0
17.06.20,6905448.0,6267097.0,,,1896970.0,13936648.0,4212749.0,,13632412.0,13265027.0,3876958.0,1912480.0,15818084.0,16707062.0,14979795.0,14288848.0,14383679.0,21647752.0,10886066.0,88.0,6549505.0,5692083.0,13367404.0,559748.0,48046102.0,103176696.0,224048506.0,6305963.0,83299530.0
17.06.21,6862083.0,6252272.0,,,1910293.0,13921881.0,4245009.0,,13726606.0,13206259.0,3837545.0,1924413.0,15910996.0,16792157.0,15124917.0,14405938.0,14446888.0,21822627.0,10944928.0,88.0,6492781.0,5587734.0,13579139.0,557443.0,49072721.0,101148842.0,220356196.0,6260326.0,83338178.0
17.06.22,6611244.0,6209914.0,,,1971125.0,13834313.0,4229836.0,,13704268.0,13236557.0,3805099.0,1981161.0,15945667.0,16837452.0,15114450.0,14356875.0,14474213.0,22009194.0,10920465.0,88.0,6476716.0,5610218.0,13590077.0,549952.0,48436452.0,100181606.0,221516748.0,6214801.0,83248394.0
17.06.23,6664995.0,6294652.0,,,2052944.0,13680638.0,4302486.0,,13804797.0,13201158.0,3878072.0,2066221.0,16035937.0,16981608.0,15386453.0,14312181.0,14515877.0,22143846.0,10728314.0,87.0,6495370.0,5619484.0,13660947.0,547025.0,48898111.0,98113770.0,223283602.0,6123411.0,81379407.0
17.06.24,6551893.0,6335663.0,,,2064113.0,13897992.0,4336206.0,,13956974.0,13270428.0,3912589.0,2083398.0,16134601.0,17174148.0,15622426.0,14293600.0,14514049.0,22231170.0,10804109.0,87.0,6548189.0,5582270.0,13759923.0,555003.0,49242066.0,98195923.0,220328414.0,5935969.0,81392259.0
