x,最低价-防具-Lv100堕落的遗影（低）,最低价-防具-Lv100传说防具（低）,最低价-防具-Lv85安徒恩传说防具（低）,最低价-防具-Lv85远古/魂远古传说防具（低）,最低价-防具-Lv90传说防具（低）,最低价-武器-Lv100史诗武器（低）,最低价-武器-Lv85远古/魂远古传说武器（低）,最低价-武器-Lv90传说武器（低）,最低价-武器-Lv85安徒恩传说武器（低）,最低价-首饰-Lv85传说首饰（低）,最低价-首饰-Lv80以下传说首饰（低）,最低价-特殊装备-Lv85传说魔法石（低）,最低价-特殊装备-Lv85传说辅助（低）,最低价-附魔卡片及宝珠-传说卡片（低）,最低价-附魔卡片及宝珠-神器卡片（低）,最低价-附魔卡片及宝珠-稀有卡片（低）,最低价-武器-Lv85释魂武器（低）
17.06.13,,,1783502.0,2025908.0,8730129.0,,1977780.0,12725481.0,1782575.0,2994816.0,1486196.0,3580323.0,3752021.0,,1316060.0,236116.0,9247742.0
17.06.14,,,1815261.0,2057572.0,8841530.0,,1993121.0,12966708.0,1796310.0,3121101.0,1442786.0,3697923.0,3908448.0,,1323469.0,236661.0,9255568.0
17.06.15,,,1825332.0,2086586.0,8741127.0,,2066917.0,12893831.0,1811848.0,3224498.0,1404251.0,3755698.0,4061584.0,,1316957.0,236906.0,9280271.0
17.06.16,,,1827974.0,2159690.0,8583945.0,,2051105.0,12397140.0,1795530.0,3217000.0,1372935.0,3732303.0,4016402.0,,1313705.0,239735.0,9257572.0
17.06.17,,,1809890.0,2163175.0,8709334.0,,2087988.0,12202435.0,1790780.0,3170987.0,1322659.0,3662997.0,3879469.0,,1304285.0,240633.0,8624514.0
17.06.18,,,1796241.0,2116702.0,8762563.0,,2037825.0,12319371.0,1777833.0,3175714.0,1313319.0,3618286.0,3833716.0,,1303969.0,238574.0,8601484.0
17.06.19,,,1791192.0,2066103.0,8642011.0,,2013085.0,12335598.0,1777521.0,3160048.0,1296381.0,3595908.0,3800712.0,,1306487.0,238079.0,7048386.0
17.06.20,,,1786708.0,2035754.0,8732763.0,,2001021.0,12452394.0,1774550.0,3158714.0,1299985.0,3611009.0,3810977.0,,1302724.0,237444.0,9460425.0
17.06.21,,,1799507.0,2089312.0,8667159.0,,2084881.0,12657855.0,1786526.0,3187190.0,1301229.0,3633418.0,3837614.0,,1295495.0,235659.0,9536775.0
17.06.22,,,1863230.0,2056395.0,8564373.0,,2101961.0,12634486.0,1843271.0,3259628.0,1334093.0,3733084.0,3927861.0,,1309776.0,235998.0,9445347.0
17.06.23,,,1943006.0,2113555.0,8496537.0,,2182232.0,12583085.0,1918861.0,3306428.0,1381469.0,3800333.0,4034909.0,,1318380.0,237339.0,9125152.0
17.06.24,,,1948999.0,2147626.0,8749890.0,,2174817.0,12551496.0,1930893.0,3338894.0,1401778.0,3805458.0,4094783.0,,1301835.0,237958.0,8439262.0
17.06.25,,,1949294.0,2188747.0,8619679.0,,2195331.0,12873434.0,1934471.0,3363088.0,1405798.0,3815395.0,4119493.0,,1317303.0,239506.0,7554215.0
17.06.26,,,1973479.0,2174644.0,8810444.0,,2215045.0,12781149.0,1953410.0,3398715.0,1379542.0,3918283.0,4195706.0,,1317357.0,234172.0,8341808.0
17.06.27,,,2022347.0,2217220.0,8648287.0,,2240106.0,12517906.0,2010013.0,3556433.0,1371978.0,4057307.0,4405078.0,,1316009.0,231596.0,8851375.0
17.06.28,,,2062164.0,2228751.0,8755831.0,,2296991.0,12544831.0,2042270.0,3664597.0,1374397.0,4197208.0,4651489.0,,1326718.0,230592.0,9405781.0
17.06.29,,,2135950.0,2264357.0,8609395.0,,2299731.0,12590006.0,2116911.0,3845712.0,1429163.0,4421357.0,4848268.0,,1332241.0,229596.0,8612042.0
17.06.30,,,2222441.0,2353598.0,8518631.0,,2347100.0,12477575.0,2196590.0,4019027.0,1495572.0,4623164.0,4946403.0,,1347269.0,230753.0,9539220.0
17.07.01,,,2282520.0,2446964.0,8355703.0,,2361860.0,12614327.0,2235124.0,4314029.0,1604627.0,4809954.0,5282015.0,,1340818.0,231390.0,9642884.0
17.07.02,,,2286644.0,2484661.0,8575006.0,,2372662.0,12773032.0,2268834.0,4381298.0,1648012.0,4884950.0,5295111.0,,1341166.0,232661.0,9449076.0
17.07.03,,,2365070.0,2500164.0,8697771.0,,2496216.0,12715841.0,2327109.0,4665508.0,1706430.0,5282713.0,5566181.0,,1334467.0,230674.0,9377054.0
17.07.04,,,2423379.0,2590639.0,8834689.0,,2545460.0,12645827.0,2380793.0,4872304.0,1800755.0,5544465.0,5786492.0,,1355174.0,229156.0,8990532.0
17.07.05,,,2491612.0,2731314.0,9029624.0,,2615136.0,12734780.0,2478778.0,5130610.0,1915611.0,5805752.0,6076846.0,,1357003.0,228853.0,8835320.0
17.07.06,,,2567249.0,2760774.0,9167711.0,,2699979.0,12825704.0,2524141.0,5414960.0,1962966.0,6041715.0,6369988.0,,1359698.0,228920.0,8370016.0
17.07.07,,,2683840.0,2869329.0,9150182.0,,2759410.0,12796003.0,2665082.0,5770549.0,2113492.0,6314926.0,6649952.0,,1383273.0,230102.0,8553941.0
17.07.08,,,2752324.0,3012111.0,9022387.0,,2898624.0,12278122.0,2735459.0,5985539.0,2278334.0,6405300.0,6981965.0,,1374633.0,234508.0,8799648.0
17.07.09,,,2761227.0,2854939.0,9093785.0,,2928864.0,12426959.0,2722018.0,5446637.0,2278073.0,6459331.0,7007432.0,,1398802.0,239889.0,8798461.0
17.07.10,,,2774411.0,2924841.0,8744575.0,,2990363.0,12454960.0,2754914.0,6045277.0,2294737.0,6400569.0,6850164.0,,1399146.0,236437.0,8587025.0
17.07.11,,,2815974.0,3056585.0,8624688.0,,2917860.0,12119175.0,2773392.0,6099980.0,2312412.0,6434398.0,6591113.0,,1406012.0,237416.0,8571989.0
17.07.12,,,2894861.0,3135986.0,8774550.0,,2987765.0,11772859.0,2833417.0,6311218.0,2325632.0,6564261.0,6806890.0,,1419118.0,237702.0,8289546.0
17.07.13,,,2993664.0,3211456.0,8607878.0,,3124859.0,11444175.0,2924110.0,6526267.0,2326538.0,6694344.0,6901117.0,,1426162.0,238561.0,8435467.0
17.07.14,,,3111278.0,3348351.0,8518374.0,,3286305.0,11660485.0,3044658.0,6744663.0,2199704.0,6825698.0,6430373.0,,1438495.0,240868.0,8417667.0
17.07.15,,,3163789.0,3374338.0,8593894.0,,3287229.0,11533809.0,3088215.0,7030677.0,2227704.0,6933755.0,7245785.0,,1443363.0,245944.0,7156585.0
17.07.16,,,3178845.0,3343768.0,8476042.0,,3336908.0,11875680.0,3105973.0,7017206.0,2150112.0,7008498.0,7141505.0,,1457616.0,255603.0,8166861.0
17.07.17,,,3212326.0,3427526.0,8562529.0,,3374118.0,12194918.0,3155369.0,7073346.0,2094914.0,7047672.0,7276049.0,,1473712.0,257853.0,8212331.0
17.07.18,,,3253560.0,3495128.0,8543851.0,,3409051.0,12052701.0,3200011.0,7117825.0,2041265.0,6949992.0,7350777.0,,1483120.0,258895.0,8119202.0
17.07.19,,,3265701.0,3466225.0,8686230.0,,3414433.0,12103557.0,3190624.0,7107017.0,2038368.0,7139950.0,7476767.0,,1490845.0,258211.0,8190038.0
17.07.20,,,3301890.0,3546530.0,8671168.0,,3545169.0,11836068.0,3260175.0,7378799.0,1926929.0,7275221.0,7441354.0,,1519147.0,263702.0,8021619.0
17.07.21,,,3245254.0,3420066.0,8478828.0,,3409595.0,11680058.0,3195881.0,7157269.0,2033016.0,7147734.0,7403751.0,,1484927.0,258149.0,8038187.0
17.07.22,,,3141883.0,3428463.0,8809799.0,,3296354.0,12134286.0,3096411.0,6948114.0,2025848.0,7018579.0,7416816.0,,1488775.0,268477.0,8511159.0
17.07.23,,,3286390.0,3566398.0,8899952.0,,3423852.0,12186511.0,3214470.0,7302896.0,2000159.0,7158533.0,7663144.0,,1504010.0,270212.0,8647629.0
17.07.24,,,3394840.0,3605847.0,8572368.0,,3603976.0,12181062.0,3330018.0,7578421.0,1879007.0,7446492.0,7675079.0,,1539530.0,277860.0,8391428.0
17.07.25,,,3368262.0,3548433.0,8498830.0,,3456994.0,11860834.0,3347668.0,7549889.0,1869834.0,7487910.0,7679485.0,,1544515.0,277772.0,8022479.0
17.07.26,,,3394511.0,3554580.0,8478788.0,,3495812.0,11846720.0,3371503.0,7526177.0,1884660.0,7588689.0,7636453.0,,1547238.0,281015.0,7811535.0
17.07.27,,,3415842.0,3634218.0,8490891.0,,3561076.0,11383305.0,3355011.0,7424569.0,1857635.0,7653943.0,7618005.0,,1551476.0,281749.0,7450219.0
17.07.28,,,3378409.0,3632742.0,8287528.0,,3570343.0,10555660.0,3301454.0,7274473.0,1794146.0,7398985.0,7464346.0,,1558783.0,293556.0,7353650.0
17.07.29,,,3345645.0,3563743.0,8249888.0,,3454955.0,10246679.0,3213074.0,6660646.0,1782496.0,7246660.0,7263128.0,,1558073.0,302783.0,7281642.0
17.07.30,,,3309454.0,3548624.0,7992479.0,,3434685.0,10008368.0,3167329.0,6022859.0,1770697.0,7102613.0,7083308.0,,1564483.0,303428.0,6985256.0
17.07.31,,,3260705.0,3548080.0,7808154.0,,3378019.0,9798324.0,3153793.0,6660074.0,1718369.0,6980996.0,7046280.0,,1565673.0,302793.0,6759130.0
17.08.01,,,3265941.0,3455079.0,7648878.0,,3332383.0,9380998.0,3157220.0,6608737.0,1705519.0,6826712.0,7021126.0,,1567022.0,303576.0,7043505.0
17.08.02,,,3271707.0,3488657.0,7654217.0,,3328240.0,9085195.0,3158728.0,6639111.0,1699961.0,6977985.0,7049537.0,,1575440.0,307534.0,6857630.0
